stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,14.23,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,4.64,0,0,0,0,0,0,0
 14-21,1.09,0,0,0.98,1.39,0,0,0,0,0,0,0,4.32,0,0,0,0,9.67,0,0,8.44,0,0,0,0,0
 24-34,0.69,0,0,0,0,0,0,0,0,0,0,0,29.51,0,8.92,0,0,7.06,0,0,14.97,0,0,0,0,0
 36-46,0,0,0,1.75,3.92,0,0,0,0,0,0,0,92.36,0,5.47,0,0,19.2,0,0,8.63,0,0,0,0,0
 48-58,0,0,0,73.5,3.45,0,0,0,0.65,0.72,0,0,149.86,13.64,2.05,0.42,0,1.83,0,1.94,4.06,0,0,0,0,0
 60-70,4.84,0,0,244.02,3.89,0,0,0,1.16,1.06,0,0,341.03,0,8.33,0.79,0,3.97,0,0,5.37,0,0,0,0,0
 72-82,7.18,0,0,247.06,24.51,0,0,0,1.19,4.66,0,0,310.36,0,8.15,3.34,1.13,1.11,0,0,14.19,0,5.29,0,0,0
 84-94,33.05,1.7,0,196.91,9.08,0,0.71,0,2.95,8.81,0,0,211.66,0,3.84,4.67,0,37.75,0.94,0,3.8,0.67,0,0,0,0
 96-106,21.05,0,0.97,242.55,19.21,0,0,0,3.75,19.05,0,0,242.71,0,8.03,5.27,0,30.66,0,0.64,2.27,0,0,0,0,0
108-118,46.85,3.98,0,253.96,22.53,3.1,0,1.04,5.26,10.84,1.08,1.15,211.75,0,1,4.18,0,38.79,0,0,0,0.41,0.69,1.19,2.17,1.55
120,50.35,0,0,214.77,42.59,0,9.9,4.55,1.11,3.42,0,0,420.14,0,13.06,0,0,19.12,1.94,3.65,10.6,0,0,0,0,0
