stage,hatching.gland,melanocytes,mesenchyme,neural,spinal.cord
  7-9,3.46,0,0,3.22,0
 24-34,0,0,0,0,1.35
 72-82,0,0,1.49,0,0
 84-94,0,1.82,0,0,0
