stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.05,0,0,0,0,2.24,0,0,0,0,0,1.08,0,17.24,0,0,0,0,0,6.62,0,0.85,1.85,0,0,0,0,0
 24-34,0,2.49,0,3.05,0,0,0,0,0,0,0,0,0,0,40.11,0,2.32,0,0,0.6,0,0,0,4.88,0,0,0,0,0
 36-46,0,0,0,0.9,0,0,2.79,0,1.26,0,0,0,2.29,0.83,31.92,0,0,0,0,2.2,0,3.13,0,8.41,0,0,0,0,0
 48-58,0,0.41,0,11.77,0,0,1.24,0,0,0,0,0,2.7,0,36.7,0,0,0,0,3.54,0,0,0,3.45,0,0,0,0,0
 60-70,0,0,0,18.38,0,0,1.39,0,0,0,0,0,5.26,0,13.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 72-82,0,0.68,1.46,18.25,0.98,0,1.46,0,0,0,0.72,0,8.77,0,15.13,0,0,0.62,0,1.67,0,0,0,9,0.94,0,1.05,0,2.36
 84-94,0,0.73,0.59,8.33,0,0,0,1.34,0,0,0,0,7.16,0,9.29,0,0,0,0,0.65,0,0,0,0,0,0,0,1.95,0
 96-106,0,0.64,0,5.95,0,0.81,1.89,0,0,0.7,0,0,0.85,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.68,0,0,4.82,0,0,0,0.49,0.43,1.64,0,20.63,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,7.47,0,0,0,3.55,0,0,0,0,1.78,0,9.09,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0
