stage,eye,glial,neural,periderm,spinal.cord,xanthophores
 36-46,0,0,1.27,12.24,0,0
 48-58,0,0,0.93,0,1.13,0
 60-70,0,8.58,0,0,0,0
 96-106,0,0,1.61,0,0,0
108-118,1.94,0,3.46,0,0,2.18
