stage,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,somites,spinal.cord
 14-21,0.88,0,0,0,0,1.04,0,0.86,0
 24-34,1.62,1.43,0,0,0,12.28,0.95,0,0.87
 36-46,0,0,0,0,0,3.36,0,0,0
 48-58,0,1.34,0.72,0,0.46,8.32,0,0,0.92
 60-70,0,4.12,1.78,0.62,0,6.79,0,0,0.67
 72-82,0,13.7,1.42,0,2.18,3.48,1.03,0,0
 84-94,0,0,0,0,0,4.56,0,0,1.5
 96-106,0,0.88,0,0,0,6.76,0,0,0
108-118,0,0.78,0,0,0,1.15,3.65,0,0
120,0,2.35,4.41,0,1.68,0,0,0,0
