stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,heart,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,16.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0,3.54,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0.72,1.24,21.1,3.29,0,0,2.21,0,6.29,0,0
 36-46,0,0,0,0,4.34,0,0,0,0,0,0,72.3,1.14,0,0,3.42,0,11.82,0,0
 48-58,0,0.55,0.76,0,2.91,1.58,0,0,0,0,0,115.03,0.47,0,0,0,0,27.85,0,0
 60-70,0,0,0,0,23.62,0.77,0,0,0,1.4,0,240.61,0,0,0,0,0,29.87,0,0
 72-82,0,0,1.85,0,93.06,0.98,0.81,0,0,11.48,0,393.71,0,0,0,3.43,0,34.87,1.34,0
 84-94,0,0,0.57,0,55.8,6.05,0,0,0,1.89,0,283.43,0,0,0,5.42,0,11.04,0,0
 96-106,0,0,1.32,0,62.54,2.76,0,9.89,0,4.89,2.33,320.49,0,0,0,3.06,0,22.35,0,2.1
108-118,0,3.86,2.49,0,53.16,8.03,0,0,3.54,2.19,0,381.9,1.07,0,0,0,0.43,9.76,0,0
120,0,0,3.4,3.81,67.33,22.05,0,0,0,4.65,3.33,544.44,0,1.02,0,4.32,0,20.73,0,0
