stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,379.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,31.83,195.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,24.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.56,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,48.52,25.44,0.99,0,0,0,0,4.24,32.02,7.73,0,3.05,0,0,0,0,230.48,0.82,0,27.74,96.14,4.15,0,0,0,0,0.91,0.83,0,0,0,0,0
 24-34,0,0,1.23,27.89,5.87,2.41,0,2.04,0,0,11.24,6.57,17.93,0,12.92,11.61,0,2.93,4.82,90.96,41.41,0,22,32.27,0,0,5.1,0,0,10.87,0,2.05,0,0,8.72,0
 36-46,0,0,0,1.75,1.9,0,0,2.86,0,0,11.25,24.65,10.88,0,4.3,0,0,10.79,0,60.85,60.76,4.64,0.96,24.37,0,0,7.1,0.88,0.65,17.32,0,0.73,0,0.85,0,0
 48-58,0,0,0,0.42,12.88,0,0,2.77,0,0,18.97,81.46,9.54,0,0.37,0,0,4.05,0,42.21,33.37,0,1.07,27.38,0,0,0.4,0,0,18.88,0,1.36,0,0,0,0
 60-70,0,0,0,0,0.75,0,0,11.57,0,1.52,28.54,49.25,8.63,0,8.43,0,0,10.01,0,34.51,50.54,0,0,16.51,0,0.82,0,2.89,0,23.03,0,3.51,0.73,14.96,0,0
 72-82,0,0,2.16,1.89,1.65,0,4.59,10.65,1.69,0,52.11,32.18,0,0,0,0,0,0,0,6.92,92.97,7.32,0,23.9,0,1.98,0,1.92,0,27.23,0,1.03,6.04,9.11,0.71,0
 84-94,0,0,3.85,7.75,5.05,0,22.05,3.29,0,0,67.22,16.57,1.55,0.61,2.13,0,0,3.59,0,3.72,105.29,1.79,0,21.63,1.16,3.33,0,2.01,0,70.29,0,0,20.57,8.19,0,0
 96-106,0,0,4.99,6.89,6.26,11.16,16.29,16.47,2.31,1.19,113.36,1.06,0,0,0,0,3.46,3.77,0,19.87,140.2,0,1.1,21.03,0,0,0,6.6,0,33.07,0,0,31.39,16.08,0,2.3
108-118,0,0,0.54,10.54,9.57,3.41,80.14,3.23,2.52,1.44,152.64,0,0,0,6.43,0,2.36,13.36,0,10.96,129.49,3.06,1.14,14.92,0,1.17,0,6.8,0,67.82,0,0,26.1,10.59,1.69,0
120,0,0,0,1.66,22.58,0,31.3,2.05,0,2.21,138.89,0,0,0,2.78,0,0,12.48,0,9.84,70.52,0,0,26.17,0,7.42,0,0,0,47.28,0,0,14.52,19.3,0,0
