stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.58,147.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.65,3.62,0,5.15,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,7.86,0,0,56.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.34,0,26.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,0,0,0,18.33,0,0,0,0,3.11,0,0,0,0,0,0
 14-21,0,0,5.7,0,0,13.49,0,0,0,0,0,0,0,1.5,9.24,0,1.11,0,0,1.01,4.02,0,0,1.16,88.23,0,2.37,0,0.86,0,0,0.9,0,0.89,50.98,0,0,0,0,6.64
 24-34,0,0,0.6,1.86,0.61,0,0,10.52,0,0,0,8.46,0.92,6.32,18.05,0,0,0,0,14.19,6.44,0,0,4.92,782.07,0,6.4,9.03,0,0,0,0,0,0,155.59,0,0,6.47,0,24.75
 36-46,0,0,0.85,0,1.16,0,0,191.47,0,0,0,13.52,0.67,3.27,26.33,0,2.66,0,0.85,13.46,25.39,0.58,0,4.63,2214.81,0,13.48,0,0,0,10.55,0,2.03,0,344.89,0,0,0.69,0,30.93
 48-58,0,0,1.46,0,12.55,2.61,0,785.11,0,0,1.26,54.27,0,1.02,34.9,0,3.27,1.69,0,32.38,44.71,0.95,0,1.78,2642.18,0,3.04,0,0,0,0.38,0,0,0,480.57,0,0,6.09,0,36.78
 60-70,0,0,0.89,0,12.77,1.36,0,1284.05,0,1.31,5.58,113.13,0,12.25,65.44,0.61,3.75,0,0,25.51,38.85,3.02,6.25,0.76,2161.75,0,4.52,0.62,0,0,10.12,0,0,0,370.4,0,3.95,1.09,0,44.69
 72-82,0,0,1.82,0,12.08,11.57,0,1078.24,0,0,1.7,34.4,4.17,0,50.31,0,10.64,0.67,3.06,38.04,71.36,2.97,2.91,10.04,1805.64,0,0,0.75,0,0,1.64,0,0,0,216.73,0.95,3.22,5.1,5.52,40.99
 84-94,0,0,2.64,0,16.4,0,0,695.22,3.35,11.52,9.23,48.69,3.36,1.02,117.91,0.68,21.23,0,2.28,55.75,47.62,0,7.9,0.6,1220.55,0,0.95,2.49,0,1.65,1.01,0,0.94,0,177.52,0,3.49,5.67,3,41.65
 96-106,0,0,2.12,0,16.31,11.43,0,641.45,0,0,8.19,31.3,3.68,0,93.61,0,8.02,0,1.39,18.25,35.97,0,0,7.61,887.72,0,5.06,1.78,0,3.28,0.62,0,0,0,69.81,4.84,0,2.24,0,69.03
108-118,0,0,0,0,16.32,1.25,2.24,649.68,0,0.45,0,39.14,0,0,114.16,0.45,22.8,0,5.6,45.98,32.1,2.77,1.84,3.51,1037.9,0,8.27,2.48,0,1.8,10.59,0,0,0,61.26,1.55,0,5.41,0,34.74
120,0,0,0,0,23.86,12.51,0,562.31,0,1.37,7.89,95.37,1.02,0,79.47,0,15.66,0,12.48,26.4,64.83,0,0,3.71,1364.86,0,0,0,0,0,0,0,0,0,90.79,0,12,1.25,0,36.98
