stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm
  5-6,7.54,0,0,0,0,0,14.45,0,0,0,0
  7-9,0,0,0,0,0,0,67.23,0,11.57,0,0
 10-12,0,16.26,0,3.88,0,0,54.77,0,5.05,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,0,2.13
 24-34,0,0,0,0,0,0.72,1.39,0,0,0,0
 48-58,0,0,0.37,0.83,0.62,0,0.38,0.47,0,0.73,0
 60-70,0,0,0,0,0,0,0.94,0,0,0,0
 72-82,0,0,0.58,0,0,0,0,0,0,0,0
