stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.67,556.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.5,0,0,0,0,0,0,0,0,0
  5-6,21.87,177.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.54,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.15,0,0,0,42.71,0,0,12.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.08,0,0,21.55,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,290.75,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.78,0.88,4.24,0,0,0,3.39,0,0,0,0,0,0,0,1.93,0.98,0,0,0,58.49,1.73,0,1.91,0,0,1.82,0,2.45,0,5.78,29.83,0,1.25,0,0
 24-34,0,0,0,0,1.46,0.67,8.45,0,0,0,0.76,0,0,0,1.38,0,0,0,0,20.97,0.91,0,3.39,178.91,0.95,0.82,3.1,0,0,2.11,0,4.6,0,0.87,23.27,0,21.91,0,0
 36-46,0,0,0,0,0,0,13.12,0,0,0,20.4,0,0,0,9.08,0,0,0.57,0,15.26,0,0,5.71,197.62,0.6,0.6,0.76,0,0,0,0,10.47,0,1.09,28.7,0,1.77,0,0
 48-58,0,0,0,0,1.87,0,55.14,0,0,0,30.53,0,0.93,0,0.39,0.38,2.43,2.18,0.48,13.51,0,1.08,1.41,478.85,0,2.01,6.66,0,0,7.04,0,1,7.98,0,43.67,0,4.43,0,0
 60-70,0,0,10.91,0,7.08,0.74,183,1.42,0,1.38,70.37,0,0.97,0,4.64,5.24,0.67,0,0,42.01,0,0,1.33,633.13,5.22,0.83,0,0,0,0,0,4.54,0,0,47.86,0,8.55,2.04,0
 72-82,0,0,0,0,0.95,7.42,151.39,0,0,0,212.12,0,0,1.71,0.56,0,0.83,0,0,36.49,0.96,0.55,10.37,367.2,0,2.48,0.51,0,0,13.85,0,3.17,0,0,23.27,0.88,3.61,0.93,0
 84-94,0,0,1.18,0,1.02,5.07,68.1,0,0.66,7.7,230.52,0.6,1.96,2.03,6.01,0,1.55,0.56,0,37.5,0,2.76,5.19,232.9,2.96,0,7.3,0,0,10.59,0,0.76,0,0,28.44,3.18,1.52,4.47,0
 96-106,0,0,5.63,0,2.56,23.38,132.46,1.05,1.32,0.6,395.95,0,1.06,0,2.67,0,1.82,7.59,0,23.9,1.44,1.05,1.49,155.08,0,1.9,2.55,0,5.34,19.55,0,1.45,0,0,6.25,2.19,3.16,1.9,5.48
108-118,0,0,0,0,4.98,1.01,69.59,3.3,0.7,0,446.28,1.93,0,0.52,5.28,0,0,0,3.1,41.94,0,3.6,1.38,259.1,0,2.57,6.19,0,1.57,19.05,0,2.25,0.5,0,7.83,0,1.55,2.99,0
120,0,0,0,0,4.38,5.28,121.87,1.01,0,12.74,493.5,0,0,0,2.56,0,0,13.95,0,36.44,0,0,7.65,312.21,0,2.88,1.05,0,0,15.01,0,1.26,0,0,9.87,0,0,0,0
