stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,9.17,14.42,42.5,32.61,0,18.36,0,0,0,14.17,4.97,7.54,0.89,0,7.04,0,0,0,0,22.01,0,0,31,289.75,22.81,7.65,1.47,2.09,0,18.88,2.66,24.39,3.57,0,49.36,221.01,0,0,0.86,0,1.06
 24-34,0.83,7.94,3,13.12,3.67,0,60.47,0,2.63,0.78,10.09,0,11.23,0,2.14,11.18,0,2.3,0,1.31,71.38,0.69,1.52,39.81,1352.85,26.68,30.67,10.77,0,1.61,34.52,0,0.76,6.95,0,6.04,334.11,0,0,18.46,0,26.5
 36-46,0,0.85,0,4.79,19.52,0,181.95,3.98,10.81,1.15,32.44,0,0.62,1.35,0,10.9,16.48,2.14,0,3.76,70.03,0,3.79,14.98,1942.77,20.77,24.68,2.67,0,8.6,72.97,0,0,5.66,0,0,455.63,0,1.04,10.8,0,70.82
 48-58,0,0.46,0,15.9,7.38,0,389.66,0.68,13.9,1.24,50.9,2.5,3.01,0,0,1.37,19.06,3.47,0,12.29,76.48,1.06,0.49,13.23,1812.42,1.34,12.09,7.14,0,0.56,20.14,0,0,0.38,0,0,388.73,0,0,12.74,0.78,204.95
 60-70,0,16.85,0,18.06,40.82,0,858.76,0.79,8.47,2.04,43.91,3.68,4.48,14.9,0,5.5,0,3.79,0,6.35,111.94,0,0.7,5.33,1533.25,9.8,11.8,6.3,0,0.71,28.82,0,0,9.56,0,0,254.52,0,3.75,12.67,0,118.91
 72-82,0,17.55,0,33.17,216.83,0,811.01,0,0.74,3.85,54.22,11.94,2.34,2.03,3.38,2.46,1.87,8.29,9.86,8.79,145.33,8.24,9.25,4.99,1324.55,4.54,16.82,7.66,0,1.31,30.05,0,0,1.12,0,0,182.57,1.97,4.59,39.57,0.76,105.18
 84-94,0,11.25,0,26.69,295.35,1.24,686.56,8.84,5.16,6.3,60.59,18.45,4.52,3.89,0.86,9.53,6.2,2.49,0.65,5.81,114.91,9.41,7.11,10.09,1055.3,7.4,12.41,9.34,0,0,89.63,0,0,0,0,0,168.24,11.3,0,19.3,7.79,104.47
 96-106,0,17.65,0,22.6,372.65,1.53,563.8,3.37,2.37,3.57,73.22,16.67,1.32,1.2,10.2,6.81,3.67,2.95,8.23,4.79,114.46,12.82,13.02,14.27,900.74,1.4,31.85,16.18,0,0,94.64,2.06,0,1.26,0,0,90.35,6.53,7.56,46.34,4.1,84.59
108-118,0,8.2,0,48.12,167.77,7.53,533.23,5.96,5.09,5.95,65.13,23.45,0,3.46,9.53,11.05,5.45,5.78,7.82,6.22,128.49,8.13,1.43,5.11,1050.48,3.15,14.77,12.62,0,9.23,65.55,0,0,0.58,0.96,0,65.38,15.5,2.23,25.41,4.25,56.31
120,0,14.45,0,46.35,169.11,3.02,502.65,0,6.22,10.08,102.36,19.11,0,0,13.77,14.02,6.08,0,7.84,4.57,137.26,3.25,0,6.75,1487.33,7.89,11.72,8.28,0,0,47.91,0,0,0,1.69,0,117.41,1.28,0,41.46,1.93,25.73
