stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,74.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.57,0,0,0,0,0,160.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864.68,0,0,0,47.51,0,3.92,0,0,0,0,0,0,0,0,0
 10-12,9.56,0,33.6,0,0,0,118.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.35,0,0,0,36.68,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,34.07,17.16,3.24,0,3.71,0,0,0,65.53,2.27,7.13,0,0,0,0,9.33,57.67,0,21.54,366.23,0,0,0.94,0,0,0,0,1.76,15.83,2.34,195.32,0,0,0,0
 24-34,0,0,18.53,3.74,0,0,3.09,0,0.62,0,56.85,1.99,15.41,0,0,0,0,2.95,39.87,2.59,11.04,1127.74,0.73,0,0,0,3.12,0,0.98,0,2.39,0,218.06,0,7.28,0,0
 36-46,0,0,2.48,10.62,0.57,0,27.44,0,0,0,738.48,3.8,5.35,0,0,0,0,29.67,19.77,16.11,1.78,5805.12,3.59,11.07,0,0,3.07,0,0,0,1.86,0,459.08,0,1.23,0,0
 48-58,0,0,0,17.87,0.57,0,190.43,1.72,0,0.48,2442.06,0,2.21,1.56,0,6.97,0,16.93,25.73,13.44,5.48,6667.59,1.94,4.24,2.78,0,7.14,0.82,0,0,0.61,0,1443.99,0,1.49,0,0.92
 60-70,0,2.1,0,0,2.21,0,91.94,0.76,0,0,1273.54,0,0.93,0,0,3.17,3.05,13.18,11.32,26.3,0,1410.29,0,1.1,0,0,3.87,1.27,0,0,0.68,0,835.92,1.17,0,0,12.87
 72-82,0,1.8,0,2.44,0,0,110.23,0,0,0,637.72,0,0,0.59,0,1.15,0,32.85,31.76,5.77,0.73,628.64,0,0,17.4,0,5.56,2.37,0,0,0,0,257.69,0.5,0,1.24,1.88
 84-94,0,0.98,0,0,0,0,101.96,0,0,0,489.87,0.97,0,0,0,0,0,98.29,24.97,34.23,1.65,397.09,0,2.36,7.39,0,19.56,0,0,0,0,0,204.25,0,0,0.82,0
 96-106,0,4.94,0,0,9.45,0,147.6,0,2.58,5.58,399.21,3.56,0,1.92,1.18,0,0,79.67,24.16,14.46,0,289.63,0,5.79,0.77,0,14.87,31.18,0,0,0,0,78.08,4.89,0,0.61,0
108-118,0,1.62,0,5.78,0,0.94,102.56,0,0,1.17,470.92,2.54,0,1.13,0,5.15,0.84,158.5,20.48,19.17,0,339.84,0,10.2,3.95,0,14.21,0.53,0,0,0,0,54,0,1.6,1.06,0
120,0,0,0,4.09,4.21,1.06,124.5,6.51,2.25,0,413.46,1.04,3.06,0,0,0,0,104.3,46.96,12.76,3.36,441.35,6.07,6.87,0,0,109.64,0,0,0,0,0,54.77,0,0,0,0
