stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,612.78,12713.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.34,0,0,0,0,0,0,0,0
  5-6,551.83,9406.17,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,132.39,0,0,0,14.27,118.27,0,0,0,0,0,0,0,0
  7-9,17.34,21.88,0,35.79,0,0,72.67,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,806.45,13.09,0,0,293.45,4.34,21.8,0,0,0,0,0,0,0
 10-12,0,0,0,21.93,0,0,27.97,0,0,0,0,0,7.24,0,0,0,0,0,0,0,0,0,350.17,23.2,0,0,136.93,0,19.93,0,22.66,7.77,0,0,0,0
 14-21,0,0,1.09,0,19.64,4.87,3.87,0,0,0,4.63,7.59,1.69,0,0,0.96,0,0,12.49,0,0,6.17,108.04,1.13,0,2.03,2.12,4.1,0,8.79,11.22,3.82,29.07,0.99,0,0
 24-34,0,0,0,1.29,3.34,0.81,4.72,0,0,0,2.8,1.27,0,0,0,0,0,0.97,3.99,0,0,5.04,173.88,0,4.23,2.3,0,0,0,0,1.08,0.64,32.46,3.75,0,0
 36-46,0,0,0,0,0,0,17.99,0,0,0,4.81,0.59,0,0,0,0,0,0,17.15,0,0,1.19,237.31,0,10.66,0,0,10.96,0,0,0.59,0,41.16,3.23,0,0
 48-58,0,0,0,0,5.19,0,42.17,0,0,0,28.74,0,0,0,0,0,0,0.89,17.77,0,1.58,0.53,354.73,0,0,3.78,0,0,0,0,0.43,0,40.81,6.68,0,0.66
 60-70,0,0,0,0,7.05,0,92.12,1.98,0,0,6.17,1.39,0,0,0,0,1.28,0.82,18.32,0,0,4.4,416.13,0,1.82,2.09,0,1.72,0,0,0,0,41.23,0,0,0
 72-82,0,0,0.97,0,1.03,0.63,90.1,0,0,0,5.48,1.08,0,0.53,0,0.61,0,2.15,13.81,0.52,0.93,1.24,374.73,0,5.96,2.91,0,0,0,0,0,0,60.65,6.61,0,6.55
 84-94,0,0,0,0,2.94,0,62.46,0,1.25,0,13.94,0,0,0,0,0,0,3.89,9.15,0,0,0,263.42,0,1.83,8.21,0,0,0,0,0,0,31.36,0,0,0
 96-106,0,0,2.17,0,6.38,0,77.72,0,0,0,7.73,0.96,0,0,1.52,0,0,2.13,16.97,0,0,0,219.65,0.61,6.73,7.31,0,1.7,0,0,0,0,0,0,0.58,6.58
108-118,0,0,1.15,0.74,7.23,0,54.23,0,0,1.94,3.69,0,0,0,0,0,0,4.87,8.35,0,1.75,0,287.02,0,5.26,2.08,0,9.12,0,0,0,0,13.21,0,0,0
120,0,0,0,0,0,2.94,38.1,0,0,0,1.08,0,0,0,0,0,0,6.46,5.49,0,0,1.56,300.77,0,12.82,16.66,0,0,0,0,0,0,0,0,9,0
