stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,4.02,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,2.06,0,0.81,0,0,0,0.91,0,0,0,0,0,0,0,3.43,0,0,0,13.6,0.94,0,0,0,6.75,3.51,0.85,0,0.87,16.79,0,0,0,0
 24-34,0,0,2.46,0,1.53,0,0,0,2.56,0,0,0,0,0,0,0,0,7,0.67,0,1.04,22.66,0,0,0,66.33,0,0,0,0,13.2,0,0.8,0,0
 36-46,0,0,0.83,0,1.88,0,8.54,0,1.47,0,0,0,0,0.56,0,0,0,0.86,0,0,0.73,15.38,0,0,0,109.07,0,0,0,0,6.19,0,0.56,0,0.66
 48-58,0,0,0.41,0,2.4,0.72,3.64,0,2.27,0.51,0,0,0,0,0,0,0.54,7.89,1.76,0.51,1.45,13.3,0,0,0,102.87,0,0,2.93,0,3.22,0,0,0,2.66
 60-70,0,0,13.85,0,0.8,0,4.45,0,3,0,0,0,0,3.44,1.96,0,0,7.01,0,0,1.96,6.41,0,0,0,84.8,0,0,0.62,0,1.65,0,0,0,0
 72-82,0,0,0,0,4.15,0,1.48,0,6.41,0,0.58,0,0,0,0,0,0,10.55,0,1.82,0.96,26.01,0,0,0,30.66,0,0,0,0,0,1.41,1.98,0,0
 84-94,0,0,1.18,0,1.89,0.79,3.58,2.76,3.23,0,0,0,0,0,0,0,0,10.01,0.55,3.49,1.74,20.4,1.39,0,0,87.52,0,0,0,0,0,0,0,2,0
 96-106,0,0,4.33,0.63,8.84,1.45,0,2.43,1.01,2.01,0.58,0.73,0,0,0,0,0,10.09,0,0,0.8,8.59,0,0,0,56.23,0,0,0,0,0,0,0.92,0.8,0
108-118,1.18,0,9.93,0,11.35,0,1.38,0,1.34,0.78,0,0,0,0,0,0,0,17.91,1.01,0,0.68,5.61,0.46,0.52,0,34.73,0,0,0,0,0.93,1.36,0,0,0
120,0,0,4.29,0,2.94,0,1.39,0,1.14,7.42,0,2.59,2.42,0,0,10.76,0,0,0,0,0,11,1.26,0,0,28.35,0,0,0,0,0,0,1.55,0,0
