stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,123.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0,27.66,0,0,0,19.25,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,1.29,0,2.35,0,0,0,0,0,0,0,16.59,0,0,0,0.82,0,1.27,0,1.45,5.72,0
 24-34,0,0,1.22,0,0,6.04,0,0,0,0.75,0,0,2.3,0,1.8,26.56,3.57,0.96,0,0,0,0.72,0,0.64,4.9,10.49
 36-46,0,0,0,0,0,9.19,0,1.25,0,0,0,0.56,1.76,0,0,53.52,0,0,0,0,0,0,0,0,10.11,0.88
 48-58,0,0,0,0,0,24.46,0,2.99,0,0,4.8,0,3.42,0,0,63.51,0,0,1.08,0,0,0,0,0,2.23,0.71
 60-70,0,0,0,0,0,40.41,1.83,3.13,0,0,0,0,14.14,1.12,1,43.53,0,0,0,0,0.63,0,0,0,2,0.9
 72-82,0,0,0.52,0,0,45.78,0,10.61,0,0,0,0,10.04,0,0.54,27.48,0,0,0,0,0,1.3,0,0,10.37,0
 84-94,0,0,0,0,0,43.1,0,5.59,0,0.97,0,0,16.5,0,0,13.41,0,0,0,0,0,1.67,0,0,0,0
 96-106,0,0,0,0,0,41.41,0,17.04,0,0,0,0,15.86,0,0.81,14.03,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.5,43.62,0,1.84,0.43,0,0,0,17.04,0,1.67,21.37,0,0,3.36,0,0,0,0,0,0,0.62
120,0,0,0,13.55,0,4.66,1.26,2.85,0,0,0,0,17.94,17.36,0,4.83,0,0,0,0,0,0,1.6,0,0,3.45
