stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.19,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,20.77,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.22,14.88,0,0,13.71,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.68,29.65,0,0,0,2.16,0,0,0,0,4.68,0,2.19,9.97,0,0,0,0,0,4.29,0,0,12.98,0,0,0,0,0
 24-34,0,0,0,33.89,2.8,0,0,0.75,0,0,0,0,4.09,0,1.78,48.18,0,0,0,0,0,0,0,0.64,18.61,0,0,0.64,0,0
 36-46,0,0,0.56,25.59,0.65,0,0,2.17,0,0,0,0,0.73,0,2.05,126.64,2.62,0,0,0,1.07,0,0,0,29.59,0,0,0,0,0
 48-58,0,0,0,53.44,10.45,0,0,9.51,0,0,0.39,0,6.4,0,0.4,229.83,0.53,0,0,0,0.52,0,0,0,45.72,0,0,0,0,0
 60-70,0,0,0.75,71.78,104.94,0,0.84,6.49,0,0,3.34,0,13.57,0,0,366.39,0,2.92,1.48,0,2.94,0,0,0,74.17,0,0,0,0,8.3
 72-82,0,0,2.52,91.5,80.34,0,3.23,7.77,1.68,0,0,0,11.67,1.42,0,432.8,0,0,0.69,0,0.53,0,0,0,31.82,1.2,0,0,5.45,3.96
 84-94,0,0,3.49,84.89,106.53,0.68,0,20.78,0.96,0.59,0,0,22.75,0,0,248.67,0,0,3.04,0,3.31,0,0,0,26.28,11.72,0,0.57,0,0
 96-106,0,0,0.73,152.72,107.94,0,0,27.05,1.13,0,0,0,6.38,0,0,249.9,0.79,0,4.19,0,0,0,0,0,15.87,5.9,0,0.77,0,5.1
108-118,0,0,0.44,83.63,54.82,0,0.62,21.31,0.73,0,0,2.87,11.89,0,0,338.6,0.83,0,0.99,0,0.67,0,0,0,10.48,3.58,0.64,0.97,0,0
120,0,0,0,130.08,48.7,0,1.66,23.43,1.33,0,1.1,0,4.13,0,0,412.06,1.39,0,0,0,6.46,0,2.11,0,16.57,0,0,5.74,4.69,0
