stage,epidermis,erythrocytes,eye,fast.muscle,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.22,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.26,0,0.61,0,0,0,0
 36-46,0,0,1.12,0,0.73,0,0,0,0,11.46,0,0,0,0,0,0
 48-58,0,0,1.97,0,3.8,0,0,0,0,18.55,0,0,0,0,0,0
 60-70,0,0,70.79,0,4.05,0,0,1.63,0,126.97,2.75,0,0,0,6.04,0
 72-82,0,0,143.63,0,1.5,0,0,2.18,0,112.24,0,1.08,0,0,6.86,0
 84-94,0,4.93,115.09,0,5.57,0,0,5.09,0,97.3,0,0,0.76,1.09,14.05,0
 96-106,1.81,0,191.65,0,9.09,0,0,2.58,0,78.16,0,0,2.18,0,2.28,1.22
108-118,4.8,0,243.02,0.76,3.75,0,0,0,0,111.81,0,0,0,0.43,2.82,0
120,2.2,0,229.31,0,13.14,1.36,1.61,0,6.79,344.66,0,0,1.58,0,20.84,0
