stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0,0
 36-46,0,0,0,0,0.86,0,0,0.79,0.92,2.25,0,0,31.2,0,0.81,0,0,0
 48-58,0,0,1.34,0,0,0,0,1.85,0,0.68,0,0,0.38,0,0,0,0,0
 60-70,0,0,1.79,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,2.61,0,3.37,1.04,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.77,0,0,0,0.91,0,0,5.35,0,0,0,0,0
 96-106,0,0.91,1.95,0.76,0,1.72,0,0,0,6.7,0,0,8.54,0.62,0,0,1.51,0
108-118,0,1.24,0,0,0,0.7,0.58,0.61,0.8,5.53,0,0,4.9,0,0,0.69,0,5.43
120,0,0,0,3.64,0,1.04,0,0,0,1.64,0,0,20.78,0,0,0,0,0
