stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.21,4.6,0,0,18.18,5.41,0,0,0,0,0,0,0,0
 14-21,0,0,34.01,35.67,1.71,0,0,0,1.95,1.09,0,2.59,0,0,0,0,0,0,6.42,0,0,1.02,12.52,1.03,0,0,0,1.11,0.91,0,1.7,3.42,0,19.73,0,0
 24-34,0,0.68,20.83,4.42,1.52,0,0,0,0,0,2.87,2.8,2.11,0.6,0,0,0,0,10.6,0,0,1.5,9.39,0,2.24,1.23,0,17.6,0,0,0,4.12,0,128.25,0,1.1
 36-46,0,0,6.52,0,3.2,0,0.8,0,0.64,0,0,3.63,3.84,0,0,0.68,0,3.17,7.28,0,0,0.97,29.45,0,0,0,0,24.96,0,3.9,0,2.02,0,39.64,0,0
 48-58,0,0,6.61,0.38,6.28,1.98,0.38,1.03,9.88,0,0,4.86,1.9,0,0,0,0,1.07,8.54,0,0.44,3.35,18.83,0,3.44,0,0,20.54,0,1.71,0,1.43,0,33.82,0,2.66
 60-70,0,0,31.27,0,5.46,0,5.3,0,4.66,0,0,4.66,3.12,1.69,0,0,0,9.57,11.75,0,0,1.72,12.81,0,1.82,1.67,0,21.35,0,0,0,0.71,3.33,24.78,0,7.07
 72-82,0,0,5.61,2.69,10.22,2.65,2.45,1.14,9.18,0,0,6.05,6.68,0.52,5,0.69,0,0,23.13,1.6,1.47,0,13.98,0,0,0,0,15.07,0,0,0,0,0.56,50.86,0,4.78
 84-94,0,0,14.01,4.57,20.96,0,7.51,0,3.54,0,0,3.68,18.88,0,0,0,0,3.35,27.98,0,1.49,0,17.67,1.16,0,0,0,13.42,0,0,0,0,1.15,32.67,1.02,5.2
 96-106,0,0,13.2,6.95,19.89,0,1.25,0,10.77,0,0,3.16,12.19,0,0,0,0,2.8,22.08,0,1.53,1.19,13.35,0,0.59,1.13,0,32.63,0,0,0,2.97,0,51.47,0,0
108-118,0.57,0,11.82,20.17,19.01,0,2,0,5.33,0,0,10.33,22.81,1.21,0,0,0.45,5.24,36.71,5.21,10.36,0,13.33,0,0.43,0,0,14.36,0.42,0,0,0,0,37.13,0,1.22
120,0,0,14.97,8.32,9.43,11.48,11.27,0,0,0,0,3.8,31.83,0,0,0,0,1.61,38.75,1.16,0,0,68.45,0,0,0,0,3.32,0,0,0,0,0,46.74,17.64,3.14
