stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,562.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.15,307.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,20.98,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,32.38,11.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.65,6.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,11.42,0,0.96,0,0,0.95,2.81,0,1.52,0,0,0,0,0,5.53,0,0,6.82,77.73,0.86,0,0,7.57,1.43,0,1.11,24.74,0,0,0
 24-34,0,0,0.76,11.57,0,1.53,2.47,0,2.68,0.82,0,0,0.87,0,0,0,0,41.26,0,0,14.3,112,0,0,0,0,0,0,0,26,0,0,0
 36-46,0,0,0,22.85,0,3.33,0,2,2.51,0,0,4.2,8.75,0,0,0,0.7,78.33,0,1.81,24.25,62.81,0,0,0,0,0,0,0,19.28,0,6.64,0
 48-58,0,0,0,5.49,0,4.69,5.14,2.03,8.25,0,0,2.35,1.02,0,0,0,0,126.24,0,0.84,19.8,20.16,0,0,3.42,0,0,2.93,0,7.38,0,6.14,0.5
 60-70,0,0,0,15.31,0,9.25,2.61,2.58,2.44,0,0,0.9,2.97,0,0,0,0,196.89,0,5.59,14.47,60.71,0,0,6.36,0,0,0,0,6.67,4.32,4.78,1.46
 72-82,0,0,0,8.11,0,15.4,0.5,1.55,9.26,0.66,0,7.88,1.39,0,0,0,0,268.56,0,9.21,17.62,52.37,0,1.4,0,0,1.23,0,0,2.49,5.75,14.86,6.77
 84-94,0,0,0,22.72,0,28.01,4.31,3.07,21.85,2.02,0,9.24,14.22,0,0,1.81,0,289.73,0,16.92,15.84,43.81,0,1.31,9.61,0,0,0,0,0,3.43,13.15,16.7
 96-106,0,0,0,21.57,2.75,21.28,1.01,3.1,11.65,0.59,0,2.25,11.18,1,0,0,0,214.26,1.88,12.53,19.34,42.58,0,1.9,5.36,0,1.71,0,0,6.25,12.53,8.33,28.12
108-118,0,0,0,17.38,0,43.45,3.11,11.34,15.24,0.78,0,6.11,14.06,0,1.02,0,2.1,324.36,0,10.41,14.3,72.25,0,3.9,0,0,0,0,0,0,7.38,12.01,8.49
120,0,0,0,12.19,0,31.6,2.97,0,9.24,0,0,10.79,10.22,0,0,0,0,188.65,0,38.75,21.35,25.59,0,7.39,0,0,0,0,0,0,2.78,24.43,17.17
