stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,275.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,285.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,15.66,0,4.42,0,0,0,0,0,13.14,0,0,0,0,0,0,0,165.56,18.51,0,0,37.6,0,0,0,0,0,0,0
 10-12,0,0,24.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.94,0,0,0,63.53,0,0,7.21,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,7.57,0,0,0,0,0,1.17,0,0.94,0,0,0
 24-34,0,0,0,5.75,15.79,0,0,0,4.3,0,0,1.01,0,0,0,16.8,0,1.32,75.33,0,0,1.84,0,1.47,0,0,9.81,2.99,0,0.62
 36-46,0,0,0,2.71,15.01,2.84,0,0,0.97,0,0,0,0,0,0,4.7,0,0.68,87.35,0.63,0,2.7,0,3.54,0,0,14.89,0.62,0,0
 48-58,0,0,0,7.04,6.02,0,0,6.87,8.59,0.91,0,0,0,0,1.32,7.17,0,0,62.22,0,0,0,0,7.9,0,0,13.08,3.09,0,0
 60-70,0,0,0,2.6,20.33,0,3.77,0,12.93,0,0,0.93,0,1.05,0,8.39,2.57,0.82,61.79,0,0,0,0,0,0,3.72,6.05,0,0,0
 72-82,0,0,0,0,0.92,0,2.26,0,4.82,0,0,0,0,0,0,9.59,0.65,0.56,15.71,0,0,0,0,0,0,0,3.21,0,1.16,0
 84-94,0,0,0,0,2.08,0,0,0,0,1.78,0,0,0,0,0,4.86,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0
 96-106,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,6.56,0.93,0,7.92,0,2.23,0,0,0,0,0,3.97,0,0,0
108-118,0,0,0,0,1.02,0,0,0,10.19,0,0,0,0,0,0,9.49,0,0.64,4.46,0,0,0,0,0,0,0,2.81,1.35,0,0
120,0,0,0,1.35,6.83,0,0,0,2.4,0,0,0,4.78,0,0,22.46,0,9.72,51.97,0,0,0,0,0,0,0,0,0,0,0
