stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.56,370.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.27,464.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,7.94,0,0,29.71,0,6.15,0,0,0,0,0,0,0,0,0,0,0
  7-9,25.62,0,0,15.22,0,0,7.96,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,157.71,0,0,0,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.42,0,0,4.39,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0,71.39,0,0,0,21.57,0,3.81,6.03,0,19.51,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.05,33.6,62.63,0,0,0,0,0,0.85,0,2.39,0,0,0,0,38.64,68.7,0,0,65.86,29.55,12.14,0,0,4.48,0,10.75,0,3.16,0.84,19.12,0.82,2.04,0,0,1.86,0,0
 24-34,0,0,0,1.34,16.35,2.4,2.31,0,2.92,6.16,0,0,0,21.81,16.58,0.63,0,0.73,7.31,423.23,0,0.69,234,43.1,4.38,1.94,0,0,0,1.77,0,0,1.13,39.84,3.84,2.08,0,0,44.1,0,0
 36-46,0,0,0,0,6.73,0,4.9,5.22,6.7,76.83,0,0,0,24.11,41.8,0,0,0,1.85,754.06,0,3.71,262.4,71.28,3.15,0.63,0,0,0,0.75,1.17,6.21,0,16.73,0,9.13,0,0,23.93,0,0
 48-58,0,0,0,0,14.98,0,27.4,0,16.27,180.79,3.02,0,0,15.35,54.08,0,0,1.05,0.37,1205.52,0,11.38,239.92,126.05,0,1.65,0,0,1.3,2.89,0,0,0,3.69,0,9.24,0,0.61,38.68,0,6.72
 60-70,0.81,0,0,0,47.66,0,27.42,0,15.29,313.81,2.89,1.22,0,11.94,131.41,1.42,0,1.02,1.2,1653.92,1.27,21.17,124.47,79.25,0,0,0,0,5.6,6.08,0,0,0.58,0,0,6.22,0,17.48,32.73,0.64,6.63
 72-82,0,0,0,0,32.91,1.38,77.33,0,9.07,271.72,5.45,3.67,0,11.97,140.91,1.63,0,0.56,0,1413.06,0.82,9.85,140.66,62.12,0,0.71,0,0,3.1,1.64,0,0,0,0,0,5.67,0,22.14,73.41,9.53,1.18
 84-94,0,0,0.74,0,73.4,0.76,44.82,2.72,16.81,148.89,7.35,1.34,0,13.89,204.89,1.14,1.92,1.91,1.81,1217.47,0.64,29.29,124.57,47.29,0.89,0,0,0,0,3.25,0,0,0.93,0,0,2.15,1.28,12.8,57.22,16.9,0
 96-106,0,0,0,0,53.78,8.44,29.93,0,20.45,160.26,5.9,2.12,0,26.94,261.27,2.66,0,0,0,1145.73,2.48,24.14,80.32,94.44,2.09,3.82,0.98,0,6.26,31.19,0,0,0,0,0,6.5,0,8.52,85.28,13.03,0
108-118,0,0,0,0,100.38,0,24.36,2.86,38.78,103.44,5.17,6.42,0,10.13,279.87,1.8,0,0.57,0,1191.82,0,27.52,70.98,71.58,0.44,0.93,0,0,4.76,12.58,0,0,0,0,0,1.22,0.43,4.87,58.07,16.07,0
120,0,0,0,0,137.46,0,61.76,0,35.19,221.22,7.73,6.6,0,6.29,569.13,1.12,0,0,3.84,1476.16,0,17.35,65.83,67.73,2.47,0,0,0,7.24,45.38,0,0,0,0,0,0,1.31,18.84,116.02,41.19,0
