stage,endoderm,epidermis,eye,gut,immune,mucous,muscle,neural,olfactory,periderm,taste,vasculature
 24-34,0,0,0,1.02,0.88,0,0,0,0,0.87,0,0
 36-46,0,0,0,0,5.98,0.59,0,0,0,0,0,0
 48-58,0,0,0,0,4.54,0,0,0.43,0,0.48,0,0
 60-70,0,3.17,2.48,0,9.64,0,0,0,0,7.02,0,0
 72-82,0,0.81,2.69,0,18.23,0.78,0.64,0,0,0,0,0
 84-94,0,0,0,0,6.75,0,0,0,0,0,2.5,0
 96-106,0,1.26,0,0,17.71,0,0,0,0,1.5,0,0.61
108-118,0.49,0,0,0,13.46,0,0,2.26,0.49,0,0,0
120,0,1.31,0,0,35.57,0,0,0,0,2.29,0,0
