stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,63.61,429.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.61,914.48,0,0,0,0,0,0,0,0,0,40.52,0,0,9.77,0,0,0,0,0,0,0
  7-9,4.13,7.86,3.86,0,36.02,0,0,11.65,0,0,0,354.87,7.99,0,106.76,0,0,0,0,0,0,0
 10-12,3.8,3.64,10.31,0,18,0,0,0,0,0,0,241.69,14.57,0,112.7,0,0,10.02,3.11,0,0,0
 14-21,0,0,0,2.11,1.25,0,0,0,0,1.67,2.06,16.9,0,0,0,0,0.98,0,2.85,1.8,0,0
 24-34,0,0,0,0,2.02,0,0,0,0,1.31,0.91,12.53,0,0,0,0,0,0,0,10.93,0,0
 36-46,0,0,0,0,0.69,0,0,0,0,0,0,9.98,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.36,0,0,0,0,1.93,0,5.05,0,0,0,0,0,0,0,2.37,3.59,0
 60-70,0,0,0,0.66,3.48,0.61,5.38,0,0.63,2.53,1.58,0.99,0,0,0,0,0,0,0,0,11.29,0
 72-82,0,0,0,0,2.17,0,0,0,0,4.48,0.89,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.62,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,1.57,0,0,0,0,0,0
108-118,0,0,0,2.47,1.82,4.4,0,0,0,3.94,0,0.96,0,3.27,0,0,0,0,0,0,0,6.5
120,0,0,0,0,0,0,0,0,0,3.13,1.22,10.56,0,0,0,0,0,0,0,0,0,0
