stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.85,697.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0
  5-6,22.53,476.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.84,0,0,0,8.84,0,0,7.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.76,0.93,0.99,0,0,0,1.08,0,0,0,0,0,0,1.13,0,0,3.72,20.63,3.21,0,0,0,0,0,0,1.43,0,5.11,4.34,0,0,0.89,0,0
 24-34,0,0,0,16.34,0,5.14,0.62,0,0,0,0.79,0.71,0,0,1.2,0,5.77,0,0,5.43,49.01,0,0,0,0,0,0,0,0,0,2.08,4.44,0,0,0,0,6.33
 36-46,0,0,0,20.61,0,1.55,1.06,0,5.89,0,0,0.67,0,0,0.65,0,3.27,0,0,1.66,40.59,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,10.56
 48-58,0,0,0,6.64,0,7.42,0.65,0.46,7,0,0,0.42,0,0,4.72,0,15.68,0,0.44,3.04,106.99,0,0,0,0,0,0.47,0,0,0,0,12.33,0,0,2.99,0,9.28
 60-70,0,0,0,14.94,0,22.17,9.4,0,3.81,0,1.17,10.53,0,0,1.27,0,31.75,2.04,2.36,3.39,172.6,0,0,0,0,0,0,0,0,0,0,11,0,4.5,9.34,0,16.57
 72-82,0,0,0,2.54,0,81.79,4.79,1.7,12.32,0,0.9,3.06,0,0,9.63,0,28.87,0,0.81,5.57,123.62,0,0.97,1.06,0,0,0,0,0,0,0,7.65,0.95,0,2.98,0,2
 84-94,0,0,0,11.05,0,108.85,3.88,8.04,9.13,1.31,0,8.22,1.12,0,0,0.56,41.56,3.56,0,4.19,81.08,0,0,0,0,0,0,0,0,0,0,5.64,0,0,1.23,1,3.76
 96-106,0,0,0,13.02,0,117.67,11.11,0,15.77,0,2.03,8.96,1.59,0.71,2.03,0,35.57,1.38,1.99,1.6,156.86,0.68,0.79,3.99,0,0,2.13,0,0,0,0,3.89,2.19,0,1.04,1.78,8.78
108-118,0,0,3.86,32.49,0,116.66,7.92,0,23.94,0.58,0,14.35,1.57,2.31,6.42,0,62.11,2.55,1.55,1.66,132.74,0,2.24,6.02,0,0.76,5.86,0,0,0,0,0.42,1.35,0,5.82,1.86,3.58
120,0,0,0,35.26,0,13.8,29.53,16.69,7.42,1.14,0,10.73,0,0,1.69,0,35.16,0,0,11.62,201.27,0,1.61,3.16,0,0,1.35,0,0,4.58,0,0,0,0,8.84,5.91,0
