stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,76.82,3276.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.76,0,0,0,0,0,0,0,0,0,0,0
  5-6,114.08,3130.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.79,48.37,0,0,37.26,0,27.4,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.83,146.5,135.06,0,0,0,341.24,0,0,0,0,124.28,0,0,0,0,0,0,0,0,0,0,0,3367.49,63,0,0,1219.33,0,0,15.21,0,0,0,0,0,0,0,0,0,0
 10-12,0,95.55,172.74,0,5.14,0,406.48,0,0,0,0,24.89,0,0,0,0,0,0,0,0,0,0,0,4508.08,43.12,0,0,1553.58,0,0,41.8,0,120.45,0,11.79,5.09,0,0,0,0,0
 14-21,0,1.36,27.2,302.48,117.39,0,282.51,0,0,78.56,13.47,0,1.07,0,37.16,0,2.51,0,0.86,210.17,0.82,0,141.66,3265.91,99.19,15.12,27.97,77.34,0,68.22,7.13,253.21,10.48,7.86,220.53,771.02,0,0,18.54,0,0
 24-34,0,0,6.89,81.27,145.26,0,686.15,3.32,3.58,54.95,2.41,4.35,3.06,7.27,11.65,5.99,7.62,0,0.74,329.98,6.69,3.31,100.57,3406.9,8.43,22.55,37.54,1,0,84.84,0.86,1.58,9.64,1.74,26.7,646.14,0,0,60.16,0,14.09
 36-46,0,0,0,52.56,27.06,0,1102.46,2.95,2.19,84.62,1.6,0,2.59,31.21,8.65,24.87,8.06,7.43,3.15,292.82,1.86,8.45,68.23,1676.09,3.12,6.21,15.82,0,0,54.11,1.61,10.23,1.39,0,0,327.73,0,0,17.78,0,21.26
 48-58,0.39,0,1.66,55.9,4.32,0,986.36,7.13,6.72,72.21,7.36,0,6.31,7.07,5.13,4.68,5.39,3.3,0,225.19,0.57,9.69,57.43,723.71,1.68,5.06,5.78,0,0,27.19,0,0,3.32,0,0,99.84,0,0,16.76,0,11.96
 60-70,0,0,2.79,57.98,6.26,0,643.45,9.36,13.77,95.32,8.24,0,3.52,14.86,0,2.81,2.7,0.78,0,174.33,0,15.21,30.72,456.52,11.82,1.97,22.74,0,2.26,11.48,0,0,4.31,0,0,29,0,2.97,12.88,1.38,13.89
 72-82,0,0,0.56,38.04,2.61,0,242.42,1.95,9.17,81.12,12.2,0,5.53,15.86,3.7,3.47,2.02,2.44,0,222.18,0,14.31,33.35,348.99,2.23,3.14,9.28,0,1.6,19.74,0,0,1.79,0,0,15.09,0,2.53,24.44,3.75,0
 84-94,0,0,1,67,42.46,3.05,317.46,1.69,6.9,97.12,23.47,0,0,14.62,10.76,4.31,2.74,6.36,1.71,187.4,1.47,22.5,44.03,369.34,2.71,5.43,6.75,0,0,21.92,0,0,1.94,0,0,10.99,3.03,4.83,33.67,0,0
 96-106,0,0,0,36.34,21.9,1.71,176.01,2.38,5.5,74.4,18.21,0,4.3,25.57,1.89,2.7,4.08,1.65,1.03,137.79,1.44,4.15,27.89,249.55,2.47,5.6,7.2,0,5.22,34.92,0.93,0,2.49,0,0,3.14,1.17,0.92,26.16,5.19,0
108-118,0,0,0.74,38.8,40.98,0.55,208.25,6.83,5.16,107.94,15.65,0,2.9,16.97,3.79,9.31,1.28,13.81,0.57,150.91,0,3.73,30.29,367.13,5.9,6.21,8.04,0,0,24.58,0,0,1.84,0,0,8.29,0.46,1.16,22.72,1.75,0
120,0,0,4.41,41.43,49.36,1.6,167.67,5.95,12.65,143.36,6.13,0,4.63,31.9,2.53,4.61,3.6,10.41,0,214.21,0,9,34.36,412.41,0,20.59,4.29,0,0,10.44,0,0,5.8,0,0,14.98,0,1.95,28.9,14.38,0
