stage,eye,immune,mesenchyme,neural,vascular.smooth.muscle
 36-46,0,0,0,0.89,0
 48-58,0,0.39,0,0,0
 60-70,0,0.92,0,1.53,0
 96-106,0.62,0,0,1.2,1.15
108-118,0,2.45,1.21,0,0
