stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,210.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,0,0,0,0,0,4.74,0,0,0,10.61,0,0
 10-12,0,0,0,0,0,0,0,0,62.9,0,14.04,0,0,0,0
 14-21,0,1.3,0,1.83,0,0,0.9,0.84,6.45,0,0,2.95,0,1.64,0.96
 24-34,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,1.72
 36-46,0,0.67,0,0,0,0,0.58,2.02,3.61,0,0,0,0,0,0.84
 48-58,0,0,6.61,0.54,0,0,0,0,1.64,0,0,0.69,0,0,2.12
 60-70,0,0,0,0,0,0,3.92,0,4.89,0.71,0,6.18,0,0,0
 72-82,0,0,0.85,1.41,4.36,0,1.59,0,5.03,0,0,0,0,0,0
 84-94,0,0,0,0,1.08,0,3.26,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.73,4.79,0,0,2.42,0,0,0,0,0,0
108-118,0,0.52,0,1.77,2.8,0,3.37,0,5.65,0,0,0,0,0,0
120,0,0,0,0,1.43,0,0,0,9.29,0,0,0,0,0,0
