stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,19.68,5.13,40.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0.89,0,0,0,0,51.25,0,0,0,0.98,0,0,0,0,0
 24-34,0,20.94,79.55,1.07,0,0,1.79,0,0,0,0.73,106.77,0,0,0,1.29,0,0,25.31,0,0,0.67,0,1.93,17.27,0,0,0.64,0,18,0,3.75,0,4.82,0,0,0,0,0
 36-46,0,4.73,37.34,0,0,0,3.88,0,0,0,0.63,375.5,0,0,0,0,0,0,133.44,0,0.73,0,0,0.57,30.04,0,0,0,0,1.95,0,0,0,3.01,0,0,1.71,0,0
 48-58,0,3.56,1.6,0,0,0,14.62,0,6.91,0,7.69,621.87,0,0,0,0,0,0,26.96,0,2.96,0,0,3.19,95.92,0,0,0,0,0,0,0.54,0,10.85,0,0,0,0,0
 60-70,0,132.41,0,4.86,0,0,44.17,0,11.69,0,7.07,1090.02,0,0,0,0,0,0,120.25,0,5.39,0,0,0,65.52,0,9.66,0,0,6.38,0,0,2.58,5.65,0,0.63,4.53,0,1.82
 72-82,0,483.7,0,9.35,5.39,0,74.51,0,0.5,2.51,12.51,2599.97,0,0,2.06,0,5.13,4.4,59.74,2.16,43.09,0.56,0,2.9,472.26,0,3.18,0.51,3.13,10.79,0,0,0,8.48,1.89,0.75,12.42,0,17.36
 84-94,0,594.31,29.85,19.92,17.1,0,66.4,2.25,0.59,0,10.93,5252.56,0,2.41,2.84,0.82,10.85,3.39,40.26,0,27.22,1.42,0,3.42,238.2,2.74,0,1.36,3.75,18.08,0,0.57,0.73,20.5,1.03,0.68,1.84,1.98,7.29
 96-106,0,590.66,57.27,13.43,25.97,9.96,226.45,2.44,6.03,2.98,56.05,6368.78,0,3.03,14.27,0,1.49,1.35,137.09,4.97,75.19,1.15,0.56,11.07,1028.46,1.3,6.36,4.63,0,52.77,0.76,0,0,9.1,7.05,0.58,11.61,3.98,26.16
108-118,0,417.34,92.68,28.82,23.86,7.05,111.25,1.77,3.62,1.42,33.55,6625,0,1.81,3.86,0,0,0,109.02,0,78.71,0,10.5,6.08,924.32,1.52,0,7.3,1.08,28.02,0,3.27,1.02,8.59,0,3.02,6.83,1.13,1.03
120,0,488.33,18.4,16.37,6.91,0,45.04,0,0,3.97,29.7,4237.75,0,0,3.75,0,0,0,60.25,0,75.8,0,0,1.82,651.33,0,0,0,0,3.47,0,1.26,0,0,0,0,0,0,8.31
