stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,12.46,0,0,0,0,5.41,5.47,0,0,0,0,0,0,0,0,0
 14-21,0,16.1,9.51,1.05,5.11,0,0,0,1.56,0,0,1.81,0,0,1.98,0,0,22.41,0,0,0,0,0,1.35,0,0,0,0.83,7,0,0,0,0,0
 24-34,0,2.32,6.11,0,3.1,0,0,0.92,0,0,0,2.99,0,0.65,3.72,0,2.07,123.09,0,3.45,3.64,0,0,1.9,0,0,0,0,13.17,0,0,4.53,0,0
 36-46,0,0,0,0,5.59,0,0,1.65,0,0,0,0,0,0,4.81,3.91,1.77,237.16,0,7.78,0,0,0,13.33,0,0,0,0,24.26,0,0,0,0,0
 48-58,0,0,0,0,17.97,0,0.88,2.72,0,0,0,0,0.79,0,29.02,11.73,4.49,235.66,0,0.88,5.72,0,0,0,0,0.85,0,0,10.19,0,0.85,0,0,2.29
 60-70,0,0,0,0,89.38,0,2.05,11.78,0,2.36,0,0,0,0,30.92,22.1,3.86,450.37,0,9.99,11,0,0,1.27,0,0,0,0,27.37,0,2.06,0.72,4.73,0
 72-82,0,0,0.8,0,177.72,0,2.1,21.24,0,1.95,0,0,3.55,0,57.06,32.39,4.81,442.76,0,8.36,11.22,0,0,0,0,0,0,0,68.08,13.55,9.52,5.06,8.69,2.76
 84-94,0,0,1.95,0,91.94,0,0,15.58,2.88,0,0,0,6.09,0,42.59,23.23,2.33,299.37,0,6.56,22.26,0,0,0.61,0,0,0,0,58.14,17.54,13.39,1.89,34.35,0
 96-106,0,0,1.69,0,169.16,0.59,0,29.23,0.56,0,0,0.68,11.04,0,58.66,22.07,4.07,257.8,0,4.99,23.44,1.2,0,0,0,0.7,0.57,0,21.42,22.11,6.56,1.24,14.63,0
108-118,0,0,2.57,0,172.5,1.11,0,12.2,0.69,0,0,0,8.16,0,37.14,13.23,2.47,298.64,0,1.67,40.23,0,0.76,0,0,0.51,0,0,26.02,13.53,0,11.13,14.73,0
120,0,0,10.8,0,166.09,0,0,24.7,3.87,1.85,2.29,0,12.69,0,75.75,15.37,0,317.07,3.06,4.01,73.71,0,0,0,0,0,0,0,4.48,5.93,0,0,19.72,0
