stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,3.67,0,0,0,0,11.32,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,83.47,15.64,0,0,8.67,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.48,11.53,0,0,42.4,0,0,0,0,5.64,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.92,0.82,4.05,0,0,0,0,1.08,0,1.92,0,0,0,18.85,0,0,0,1.88,11.87,0,0,1.81,0,0,9.1,0,2.71,2.8,0,1.07,4.83,0,1.62,0,0
 24-34,0,0,0,0.61,2.33,0,2.11,0,0.86,0,0,0,0,0,0,0,0,19.44,1.46,0,0,0.71,52.09,0,0.96,0.65,0,0,78.83,0.86,0,0,0,0.72,20.71,0,0,0,0
 36-46,0,0,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,1.69,4.32,0,0.57,63.23,0,1.02,0,0,0,80.95,0,0,0,0,0,12.86,0,5.66,0,0
 48-58,0,0,0,0,2.97,0,11.61,0.38,1.47,0,7.65,0,0,0,0,20.26,0,0,6.19,0,0,0,70.74,0,1,0.38,0,0,66.42,0,0,0,0,0,25.96,0,8.99,0,0
 60-70,0,0,0,0,2,0,64.52,0,0,0,14.43,0,0,0,0,32.62,0,3.58,11.26,2.63,1.63,0,109.9,1.97,1.56,0,0,0,65.42,0,0,0.83,0,0,15.27,0,0,0,0
 72-82,0,0,0,0,5.93,4.59,94.7,0.76,2.2,0.82,15.29,1.15,0,0.82,0.5,53.33,2.32,4.33,22.63,0,0,1.02,126.56,1.67,3.7,1.49,0,0,31.81,0,0,0.49,1.61,0,16.81,0,8.93,0,0
 84-94,0,0,0,0,4.57,0,80.38,0,0.91,0,24.78,5.99,0,0,0,27.79,0,0.62,12.03,2.57,1.37,0,96.23,0.7,3.85,0,0,1.75,148.19,0,0,0,0,0,11.04,0,7.78,0,0
 96-106,0,0,0,0,8.3,4.77,57.67,2.05,0,2.11,9.63,4.59,0,0,0.58,20.27,0,0.73,15.39,2.5,0,0.81,78.54,0.7,5.25,1.23,0,0,101.73,0,0,0.69,0,0,1.25,0,6.05,0.68,0.8
108-118,0,0,0.57,0,12.21,2.54,65.15,0,0.45,1.57,25.89,1.89,0,0,1.14,31.03,0,0,12.61,0.43,1.56,0.64,93.15,0,2.58,0.72,0,0,84.28,0,0,0.54,1.05,0,6.28,2.45,7.56,1.19,0
120,0,0,0,0,7.09,0,81.17,0,1.53,2.28,17.04,6.44,0,0,1.63,23.82,0,1.05,34.87,1.1,0,0,165.55,0,0,7.09,0,0,22.68,0,0,0,0,0,0,2.71,14.05,0,0
