stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,21.26,5.58,0,12.46,0,0,0,3.3,0,0,0,0,0,0,0,10.47,10.97,0,0,13.11,188.45,0,0,2.64,1.66,0,7.39,1.26,13.64,0.88,0,19.39,61.39,0,0,2.86,0,0.95
 24-34,0,0,21.85,2.48,0,126.9,0,0,0.72,3.16,2.61,1.04,0,0,43.15,0,1.3,188.29,47,0.91,0,18.24,514.68,4.53,5.39,5.98,0,0,8.78,0,0,0,0.94,3.99,76.63,0,0,7.35,0,69.32
 36-46,0,0,2.24,1.22,0,29.47,0,0,1.98,13.43,0.67,0,1.78,0.79,21.91,0,0,7.23,29.25,0,0,4.28,281.62,1.67,1.47,2.46,0,0,5.28,0,0,0,0,0,54.36,0,0,6,0,1.53
 48-58,0,0,6.93,0,0,32.07,0.94,0,2.2,28.16,1.05,0,2.68,6.92,84.49,0,1.04,48.53,38.21,0,7.85,7.02,197.03,6.42,0.57,0.51,0,0,4.12,0,0,0,0,0,36.05,0,0,7.08,0.78,22.5
 60-70,0,0,7.03,0,0,43.68,0,0,1.21,14.71,3.57,0,0,0,15.39,1.02,0,4.66,36.04,0,0.69,12.36,102.06,0.8,0,1.67,0,1.22,8.63,0,0,1.21,0,0,12.26,0,0,2.07,0,2.83
 72-82,0.69,0,8.36,0.53,0,26.25,0,0,0.64,19.66,2.93,0.5,0,1.06,39.97,0,0,2.3,59.74,0,2.6,5.53,73.26,0.72,0,3.15,0,0,0.51,0,0,0,0,0,1.47,0,0.85,11.34,2.18,0
 84-94,0,0,2,4.45,1.17,17.99,0,0,0,18.21,2.89,0,0.77,1.32,35.26,0,0,19.03,45.43,0,2.84,5.88,45.42,0,0,4.75,0,4.92,6.96,0,0,0,0,0,11.6,0,0.84,13.94,1.25,0.7
 96-106,0,0,4.82,2.58,0,14.67,0.68,0,0,19.2,1.4,2.18,4.07,0,6.81,0,8.27,5.84,32.47,0,1.63,4.67,53.69,0.91,4.95,2.24,0,3,20.88,0.64,0,0,0,0,1.79,0.56,0,2.88,0,0
108-118,0,0.74,15.24,0.42,3.85,14.04,0,0.63,0.68,16.36,1.35,0,8.11,1.01,42.21,0.41,2.21,16.55,46.56,0,0,3.63,61.61,0.47,0.57,3.01,0,1.23,4.72,0,0,0.42,1.12,0,0.63,0,0,8.35,0,0.59
120,0,0,9.92,2.94,5.97,16.06,0,0,3.67,32.01,0,0,11.17,2.78,4.4,0,1.28,1.55,37.53,0,1.45,5.8,78.77,0,1.26,8.54,10.96,0,3.62,2.3,0,0,0,0,0,0,0,6.43,4.26,0
