stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,66.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0
 14-21,0,0.82,0.92,0,0,0,0,0,0,0,0,0,2.87,2.85,0,0,0,4.09,0,0,0
 24-34,0,0,0,0.61,0,0.93,0,0,0,0,0,0.68,3.8,5.56,0.67,0,0,0.62,0,2.91,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.84,0.63,6.57,0,0,0,0,0.87,0,0
 48-58,0,0,0,2.51,0,0,0,3.44,0,0,0.99,0,0.76,4.07,0,0,0,0,3.04,0,4.51
 60-70,0,0,0,0,1.45,0.94,0,2.46,0,0,0,0,0,10.21,0,0,0,0,0,0,0
 72-82,0,0,0,0.96,0,0,0,0,0,0,0,1.1,0.69,10.03,0,0,1.17,0,0,0,0
 84-94,0,2.31,0,2.06,0,0,0,0,0,0.58,0.58,0,0,4.1,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.49,1.42,6.85,0,0,0,0,0,0,0.63,0,0,0.59,4.01
108-118,0,0,5.27,4.2,0,0.98,0.75,0.97,1.1,0,0,1.44,0,15.83,0,0,0,0,0,0,0
120,0,0,1.89,0,0,0,0,0,0,1.58,0,4.66,0,12.41,0,0,0,0,0,0,0
