stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.22,0,0,0,0,0,0,0,0,0,0
  5-6,40.6,332.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.72,0,0,3.26,0,0,4.76,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,119.12,4.1,0,0,39.84,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,6.4,0,17.63,0,0,21.77,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,0,304.43,5.32,0,0,44.87,0,0,0,0,0,0,4.33,0,0,0,0,0
 14-21,0,0,0,1.87,10.44,0,7.37,0,0,6.38,0,0,0,0,0,0,0,0,4.36,0,0,1.97,161.25,17.79,0,0.84,1.76,0,5.27,0,7.57,2.01,9.06,49.01,0,0,0.82,0,0
 24-34,0,0,0,0,1.93,2.04,36.44,0,0.69,1.42,0,0,1.13,1.47,0,0,0,0,14.96,0,0,11.26,355.01,0.95,3.35,2.33,0,0,5.76,0,0,1.84,4.61,88.16,0,0,2.56,0,2
 36-46,0,0,0,0,1.85,0,98.86,0,0,16.49,0.72,0,0.99,0,0,0,0.61,0,14.78,0,0,5.36,204.22,2.14,3.42,2.92,0,0,1.66,0,0,0,0,61.85,0,0,3.82,0.78,0
 48-58,0,0,0,0,0.77,1.68,93.21,0,1.52,23.42,0,0,1.07,0.79,0,0,0,0,25.58,0,1.46,4.06,132.06,0,2.45,0.42,0,0,0,0,0,0,0,22.84,0,0,0,0,0.92
 60-70,0.81,0,0,0,1.01,0,57.15,0,1.67,31.55,0,0,0,1.64,0.71,0,0,0,32.83,0,0,0,112.55,0,1.72,7.31,0,0,3.69,0,0,0,0,4.44,0,0,1.86,0,0
 72-82,0,0,0,0,0.68,8.45,36.79,2.5,0.74,36.62,0,0,0,0,0,0,1.4,0,40.31,0,1.2,2.32,54.28,0,1.72,1.6,0,0,0.7,0,0,0,0,10.23,0.92,0,4.89,0,1.18
 84-94,0,0,1.16,0,2.01,1.48,31.64,0,1.12,18.24,0,1.22,0.6,0,2.4,0,2.45,0,40.45,0,0,3.63,84.68,0,2.33,0.82,0,0,4.25,0,0,0,0,5.31,3.32,1.98,3.44,3.49,0
 96-106,0,0,0.63,0,4.12,6.04,32.81,0,1.26,16.82,1.62,0,2.24,0,0,0,0,0,32.7,0,0,5.12,65.73,0,5.21,3.13,0,0,5.15,0,0,0,0,5.56,0.61,0,2.37,0.69,0.69
108-118,0,0,1.56,0,9.47,7.03,36.1,1.19,1.91,19.64,1.23,0,0,0,4.7,0,0,4.08,33.69,0.77,2.23,3.3,76.46,0,2.97,1.64,0,0.86,2.09,0,0,0,0,7.25,0,0,3.56,0.68,0.95
120,0,0,0,0,14,7.27,31.52,0,0,42.8,0,0,0,5.32,0,2.62,0,1.5,55.94,0,0,5.16,62.96,0,7.28,7.79,0,0,0,0,0,0,0,0,0,0,2.84,0,0
