stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,15.85,0,3.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,31.27,7.85,0,0,6.83,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.85,0,0,0,2.32,0,0,1.29,0,3.21,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,1.4,0,0,0,1.48,0,0,0,0,0,0,0.68,0,2.15,0,0,0.9,166.04,0,5.92,0,0,0,0,0,0,43.64,0,0,0,0,0
 36-46,0,0,0.56,0,0,0,0.75,0,1.39,0,3.34,0,0,0,0,0,0,0,0,0.81,0,0,0.75,514.03,0,6.14,0,0,0,0,0,0,57.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,72.44,2.91,0,0,16.14,0,0,0,0,0,0.7,0,2,9.77,0,0,0.41,682.1,0,3.09,0,0,0,3.12,0,0,105.46,0,0,0,0,0
 60-70,0,0.89,0,10.78,0,0,104.61,0,1.49,0,15.04,0.64,0,0,0,8.02,0,0,0,28.42,0,0,0,809.03,0,12.02,0.63,0,0,3.79,0,0,130.86,0,0,4.77,0,8.91
 72-82,0,0.78,0,5.01,6.08,0,146.47,0,4.54,0,34.49,0.9,0,0,0,0,0,0,4.19,39.51,0,0,0,888.85,0,6.72,0,0,1.4,0.49,0,0.57,94.79,0,0,0,1.09,0
 84-94,0,0,0,9.82,3.7,0,178.52,0,0,0,20.46,1.62,0,0,0,0,0,0,0,17.67,0,3.94,1,514.7,0,9.98,3.74,0,0,2.71,0,0,56.2,0.9,2,0,5.05,3.75
 96-106,0,0,0,3.99,0,0,142,0,0,3.18,30.69,3.65,0,0,0.84,2.23,0.61,0,0,15.47,0,1.14,1.69,493.32,0,10.78,0,0,0,3.63,0,0,32.05,0,0,0,0,1.78
108-118,0,3.38,0,12.33,0.51,0.55,155.08,0,0,0,26.7,11.64,0,0.63,0.59,0.42,0,1.5,0,12.01,6.69,1.79,0.42,679.67,0.59,7.35,1.03,0,5.54,4.42,0,0,24.89,0,0,0.86,1.09,0
120,0,1.22,0,6.89,3.81,0,212.43,1.26,0,0,99.33,19.38,0,0,0,0,0,0,0,25.02,3.7,2.18,0,1487.98,0,10.15,0,0,0,7.37,0,1.63,23.06,0,8.19,0,0,0
