stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0
 14-21,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,2.14,0.89,0,0,0
 24-34,20.33,0,0,3.05,0,0,0,0,0,0,0,0,0,1.33,7.04,0,0,11.36,0,0,1.11,0,0,0
 36-46,31.86,0,5.26,12.24,0,0,0,0,0,0,2.31,0,0,0,2.29,0,0,21.84,0,0,0.73,0,0,0
 48-58,32.32,0,0,7.57,1.51,0,0,0.52,0,0,1.53,0,1.17,0.41,9.05,0,0,3.18,0,0,0,0,1.39,1.34
 60-70,26.22,2.71,1.32,20.29,0,0,0,0,0,0,0,0,0,0,1.74,0,1.04,5.4,1.39,0,0,0,0.87,0
 72-82,22.82,4.23,3.36,15.25,0,0,0,1.18,0,0,3.81,0,0,0,1.31,0,6.94,1.82,0,0,6.34,0,7.93,0
 84-94,36.32,0.86,0,13.18,0,3.02,0,0.79,0.66,0,9.41,0,0,0,11.56,0,0,5.24,0,0,0,0,0.72,0
 96-106,64.73,0,0,37.28,0,14.02,0.88,1.98,2.42,3.53,6.82,0.84,0,0,8.14,1.03,1.17,3.31,0,0,0,0.67,5.56,0
108-118,83.86,0,5.57,33.6,0,11.83,0,0,2.83,5.8,8.29,0,0,0,10.84,1.89,2.24,7.94,0,0,0,0.43,7,0
120,60.75,0,0,21.99,0,13.34,0,5.75,5.88,7.84,3.67,0,0,1.82,14.99,3.57,1.07,2.64,0,0,0,0,0,0
