stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.33,55.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.2,295.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.97,21.84,0,0,0,0,0,264.86,0,0,0,0,0,95.73,0,0,0,0,0,0,0,0,0,0,0,594.42,6.18,0,0,42.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.81,0,0,0,178.78,0,0,0,0,0,41.49,0,0,0,0,0,0,0,0,0,0,0,233.33,0,0,0,22.02,0,0,35.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,189.43,73.12,0,3.93,0,0,0,14.09,37.05,2.06,1.34,0,0,0,0,0,5.29,22.62,0,0,1.19,21.21,77.37,0,0,1,0,14.24,50.4,0,922.25,0,0,13.43,0,19.23
 24-34,0,0,0,0,145.36,6.38,0,30.46,0.91,4.93,0,242.68,2.6,0,5.57,0,0,6.24,1.2,0,5.09,24.66,1.45,0,7.12,225,32.64,0,1.56,0,0,51.32,60.81,0.79,1918.02,0,0,101.3,0,12.6
 36-46,0,0,0,0,122.13,0,0,16.83,0,9.11,0.62,346.36,0,0.76,1.05,0,0,16.83,0,0,0,42.01,1.25,0,8.35,278.39,43.2,0,1.03,0,0,66.83,30.93,0,1586.31,0,0,44.01,0,0
 48-58,0,0,0.98,0,30.02,0,0,86.26,0,2.15,1.84,350.33,0,0,1.1,0,0,3.64,0,0,0,107.91,0.52,0,5.95,284.83,22.99,0,0.52,0,0,48.04,19.38,0,1629.21,0,0,26.46,0,0
 60-70,0,0,0,0,53.31,0,0,78.37,0,6.14,6.55,116.07,1.68,0,0,0,0,6.41,0,0,0,264.96,0,1.04,4.85,192.48,24.49,0,0.91,0,0,53.06,13.94,0,939.6,0,2.73,21.67,0,0
 72-82,0,0,0.69,0,25.22,1.88,0,94.91,0,4.86,15.21,181.82,4.68,0,3.58,0,0,2.96,0,4.11,0,386.21,0,5.53,14.79,333.63,8.23,0,5.11,0,0,25.02,3.16,0,1002.04,2.32,13.25,22.67,0,0
 84-94,11.71,0,2.54,0,16.56,0,0,139.1,0,1.86,13.34,104.62,10.64,0,7.04,0,4.01,0,8.82,0,9.11,314.01,0.71,1.48,6.29,210.3,16.67,0,1.03,0,6.44,86.45,3.23,0,765.98,0,8.19,31.96,0,0
 96-106,0,0,10.37,0,24.52,3.04,2.87,75.27,0,2.33,22.41,125.91,16.76,1.32,10.99,0,0,0,0.71,19.21,0,418.12,0.57,0.59,5.84,118.08,5.26,0,2.62,0,9.62,51.16,8.2,0,1116.02,0,25.69,40.8,0,0
108-118,0,0,1.81,2.13,32.17,0.61,0,82.06,0,0.9,27.27,125.19,14.52,0,18.58,0.82,1.08,2.21,2.66,1.9,0,447.32,0.94,6.71,18.06,158.12,2.83,6.86,1.09,0,9.23,71,12.43,0,754.57,1.26,19.61,36.93,4.83,0
120,0,0,11.48,0,64.7,0,2.68,100.49,0,2.65,31.29,50.46,4.18,0,1.85,0,0,0,0,5.53,0,457.93,0,0,0,268.66,0,0,0,0,8.43,61.17,19.23,0,797.88,0,11.07,23.15,0,0
