stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,neural,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,visceral.smooth.muscle
  3-4,25.2,0,0,0,0,0,0,0,0,0,0
  5-6,20.42,0,0,0,0,7.06,0,0,0,0,0
  7-9,6.96,0,0,3.74,0,6.61,17.96,0,0,0,0
 10-12,0,0,0,4.32,0,12.16,7.99,0,0,0,0
 14-21,0,0,1.88,0,0,7.63,0,1.58,0.85,2.9,0
 24-34,0,0,0,0,0,2.28,0,0,0,2.05,0
 36-46,0,0,0,0,0,0.77,0,0.81,0,0,0
 48-58,0,0,1.29,0,0,1.51,0,0,0,0.64,0
 60-70,0,0,0,0,0,9.45,0,0,0,0,0
 72-82,0,0,1.09,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.99,3.1,0,0,0,0,0
 96-106,0,1.34,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.08,0,0.42,0,0,0.44
