stage,blastomeres,eye,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,spinal_cord
  3-4,40.13,0,0,0,0,0,0,0,0,0
  5-6,25.38,0,0,0,0,0,0,0,0,0
  7-9,0,3.92,0,0,0,0,4.77,7.96,0,0
 10-12,0,0,0,0,0,0,24.41,0,0,0
 14-21,0,0.86,0,0,2.21,0,1.26,0,0,0
 24-34,0,1.77,0,0,4.92,0.73,0.92,0,0.67,0.6
 36-46,0,0,0,0.74,1.59,0,0.93,0,0.78,0
 48-58,0,0,0,0,2.2,0,6.62,0,0,0.74
 60-70,0,0,0,0,2.31,0,2.13,0,0,1.03
 72-82,0,0,0,0,0,0,0.78,0,0,0
 84-94,0,0,0,0,2.32,0,1.19,0,0,0
 96-106,0,0,0,0,5.95,0,0,0,0,0
108-118,0,0,1.35,0,0,0,0,0,0,0
