stage,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0.9,0,1.81,0,0,0
 24-34,0,0.68,0,2.13,0,0,0,0,0,0,0,0,0,12.42,0,0,1.9,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,50.91,0,0,0.72,0,0,0,0,0,0,0
 48-58,0,0,0,1.01,0,0,0,0,0,0,1.77,0,0.38,28.84,0,0,0,0,0,0,0,0,0,0
 60-70,0,4.54,0,2.33,0,0,0,1.06,0.81,0,11.23,0,0,28.43,0,0,0,0,0,0,2.83,0,0,0
 72-82,0,18.36,0,6.9,0,0,0,0,1.76,0,9.93,0,0,39.51,0,0.71,0,0,0,0,0,11.24,0,0
 84-94,0,23.29,3.93,0,0,0.79,0,1.85,12.04,0.86,33.63,3.04,0,32.69,0,0,0,0,0,0,0,8.52,0,0
 96-106,0,5.35,1.89,3.6,0,0.88,0.93,0,37.16,0,44.62,17.65,1.14,34.9,1.55,0,8.73,7.5,0,0,5.59,19.74,0,0
108-118,0.98,2.74,13.91,12.08,0.44,0,0,5.01,64.8,0,97.44,1.85,0,35.11,0.6,0,1.54,0,0,1.88,0,23.79,2.77,1.69
120,0,1.11,5.48,0,0,0,0,0,67.6,0,46.94,6.28,2.22,15,0,0,2.41,0,0,0,0,11.27,0,0
