stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,46.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,4.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,0,5.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.04,0,0,0,0,0,0,0,0.9,0,0,0,1,0,1.26
 24-34,0,0,1.14,2.09,2.48,0,0,0,0,0,0,0,0,0,0,5.37,0.96,0,0.7,0,0.71,0,0,3.58,0,0
 36-46,0,0,0.59,0,0.81,0,0,2.07,0,0,0,0,0.92,0,0.63,14.25,0,0,0,0,4.82,0,0,4.91,0,0
 48-58,0,0,3.55,1.96,1.18,4.55,0,0,0,0,0,0,3.18,0,0,5.99,2.8,0,0,0,0,0,0,0.43,0,0
 60-70,0,0,15.9,2.65,1.42,11.95,0,0,0,0.58,0,0,3.04,0,0,1.05,0,0,0,0,0,0.71,0,0.79,2.15,0
 72-82,0,0,9.94,3.11,0,18.33,0.53,0,0,1.67,0,0,3.65,0,0,1.98,0,0,0,0,0,1.12,0,0.6,0,0
 84-94,0,0,39.39,0.72,3.51,4.92,1.17,0,0,1,0,0,12.4,0,0,1.07,0,0,0,0,0.65,2.51,0.57,2.65,2.28,0
 96-106,0,0,68.91,0,6.73,5.42,6.27,0,0.79,0,0,0,0,2.05,0,2.83,1.08,0,2.89,0,0,1.01,1.26,0,0.69,0
108-118,0,0,72.48,1.11,4.11,9.08,8.96,0,0,0.62,0.52,0,2.67,4.38,0,2.13,2.89,0,0,0,0,5.06,0,0,3.3,0
120,0,0,29.68,0,3.07,16.01,2.94,0,0,1.36,0,0,3.41,0,0,4.4,0,0,0,0,0,0,0,0,0,0
