stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,186.57,12234.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844.9,0,0,0,0,0,0,0,0,0,0
  5-6,180.92,3429.67,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0,0,0,64.63,0,0,0,14.07,0,66.16,0,0,0,0,0,0,0,0,0,0
  7-9,27.9,43.35,0,15.87,0,0,179.95,0,0,0,0,75.29,0,0,0,0,0,0,0,0,0,1139.15,50.31,0,0,231.47,0,28.63,11.89,0,0,0,0,0,0,0,0,0
 10-12,0,7.62,0,4.1,0,0,43.83,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,149.91,33.05,0,0,68.69,0,5.07,20.51,0,0,0,9.29,0,0,0,0,0
 14-21,0,0,0,1.67,26.33,0.99,1.88,0,0,0,0,0,0,0,0,0,17.31,2.99,0,0,0,43.17,14.01,0,0,0.88,0,0,0,0.85,0,5.17,3.73,0,0,0,0,0
 24-34,0,0,2.05,0,12.18,0,1.39,0,8.95,0,0,0,2.13,1.85,0,2.97,26.21,9.6,2,0,9.14,75.56,0,1.48,1.37,0,0,52.74,0,0,3.4,1.49,17.11,0,0,0,0,0.93
 36-46,0,0,0,0,4.33,0,0.71,0.92,4.95,5.57,0.65,0.79,4.46,0,1.36,0,17.88,13.81,1.98,0,2.08,39.2,0,0,0,0,0,35.84,0,0,0.72,0,13.12,0,0,0,0,0
 48-58,0,0,0.46,0.43,6.86,0,6.79,3.24,7.59,0.86,4.11,6.09,2.89,0.39,2.69,0.56,0,22.86,0,0.77,2.69,21.75,0,0,0.44,0,0,33.08,0,0,1.65,0,2.7,0,0,0,0,0
 60-70,0,0,0,0,3.88,0,3.24,2.24,4.85,3.74,3.66,0.8,9.3,0,5.32,2.12,1.53,26.77,0.65,0,0,6.08,0,0,0,0,0,58.81,0,0,0.97,0,0.85,0,0,0,0.73,0
 72-82,0,0,1.81,0,4.28,0,3.66,3.66,9.79,0.93,0.66,0,0.59,5.48,1.78,1.56,0,26.61,7.73,0,0.71,34.62,0,0,1.12,0,0,27.1,0,0,1.62,0,2.72,3.4,2.24,0,0,0
 84-94,0,0,1.01,0,21.54,0,7.51,4.75,5.88,4.41,0.9,0,1.98,6.01,2.87,2.96,0.68,21.98,0.86,0,0,13.43,0,0.71,0,0,0,125.61,0,0,0.6,0,0,0.83,0,0,0,0
 96-106,0,0,2.6,0,17.77,3.25,31.09,4.09,11.17,3.19,2.07,0,4.13,1.21,4.38,2.64,0,30.2,1.73,0,0,21.64,0,2.14,1.35,0,0.79,94.08,0,0,0.7,0,0,0,0,2.79,0,0.72
108-118,0,0,2.91,0.65,20.01,0,35.78,7.87,2.7,3.14,3.06,0,2.92,3.59,28,3.95,3.45,37.96,9.28,3.62,0.86,25.6,0,0.94,0.79,0,0,70.09,0,0,0.62,0,5.09,0.71,0,2.73,0,0
120,0,0,2.96,0,40.98,0,27.01,5.6,12,0,1.25,0,6.56,3.16,14.41,5.77,0,10.21,1.31,0,0,69.76,0,2.88,0,0,0,44.11,0,0,2.27,0,0,0,0,0,0,0
