stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,8.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.38,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,0,0,0,7.23,0,0,0,0,0,0,0,0,0
 14-21,0,3.5,40.3,0,4.02,0,0,0,0,0,0,1.43,0,0,0,0,14.57,0,0,6.43,25.05,0.95,0,0.81,0,0,0,0,3.42,0,0,15.2,0,0.85
 24-34,0,54.9,10.1,0,3.36,0,0,0,0,0,21.4,2.96,0.95,0.64,0,2.05,89.04,0,0,14.2,67.01,1.43,0,8.98,0,0,1.4,0,10.69,0,0,148.61,0,0
 36-46,0,15.37,0.57,0,2,0,0,0,3.7,0,20.27,4.7,0,0,0,0,181.13,0,0,10.3,38,0,0,0.72,0,0,0,0,4.92,0,0.62,186.69,0,0
 48-58,0,1.28,0.95,0,19.18,0,0.47,1.81,4.79,0,17.68,14.35,0,0,0,0,308.54,0,2.52,10.79,44.18,0,0,3.57,0,0,0,0,6.15,0,0,147.94,0.65,0
 60-70,0,5.04,0.57,0,17.45,0,1.49,2.83,19.61,4.83,9.78,3.87,0,0,0,0.81,604.41,0,8.5,17.45,35.76,0,0,13.59,0,5.19,0,0,0.61,0,8.56,125.14,1.62,0
 72-82,0,0.58,0,0,42.53,1.33,0,7.78,26.93,13.4,14.75,9.23,0,0,0.88,0,874.24,0,16.76,12.85,44.92,0,0,8.49,0,2.79,2.3,0,0,0,5.55,318.75,1.36,1.89
 84-94,0,10.53,2.1,0,37.53,0,0,6.09,15.79,27.48,17.68,14.16,0,0,0,9.21,704.71,0,10.71,12.44,10.32,0,0.7,7.74,0,3.33,1.21,0,2.62,0,5.55,280.79,5.91,0
 96-106,0,3.19,30.52,3.86,15.2,10.44,3.79,9.84,13.28,24.07,32.91,11.65,0,0,0,1.8,684.52,2.09,5.32,2.77,34.29,0,0,20.55,0,11.03,0,0,5.48,0,19.04,374.15,3.03,0
108-118,0,17.28,4.55,0.5,20.49,0,1.77,4.13,21.65,23.3,9.47,19.73,0,0,0,0.73,706.71,0,22.27,4.82,69.82,0,1.27,16.49,0,1.95,0,0.88,0,3.08,6.41,258.82,1.09,0
120,0,6.75,9.62,0,18.48,0,17.06,5.31,60.51,11.99,9.87,21.62,0,0,0,0,860.5,1.56,21.45,2.74,52.45,0,0,10.71,0,0,2.35,0,0,0,18.13,348.56,7.45,0
