stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.45,114.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.16,257.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14,0,0,0,0,12.76,0,0,0,0,0,0,0,0,0
  7-9,21.72,10.94,9.72,0,0,0,48.1,0,0,0,0,0,53.09,0,0,0,0,0,0,0,0,0,0,0,314.76,18.95,0,0,73.19,0,6.2,0,0,0,0,0,0,0,0
 10-12,0,4.57,9.96,0,0,0,17.8,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,301.37,8.49,0,0,85.27,0,0,21.48,0,0,0,0,0,0,0
 14-21,0,0,0,2.66,3.95,0,3.05,0,0,0,0,0.99,0,0,0,0,0,0,0,0,1.3,0,0,0,41.74,0,0,0,0.9,7.46,0,5.7,0,0,5.33,9.24,0,0,0
 24-34,0,0,0,0.64,0,0,13.6,0,0,0,1.08,0,0,0.95,0.64,0.72,0,0.68,0,0,10.37,0,0,1.75,136.19,0.99,1.27,1.63,0,2.45,0,0,0,0.94,3.46,30.56,2.51,0,0
 36-46,0,0,0,2.06,0,0,24.29,0,1.3,0,6.7,0,0,0,0,0,5.9,0.65,0,0,13.94,0,0,3.99,88.15,0.62,0,0.75,0,11.91,0,0,0,0,0,18.79,16.85,0,0
 48-58,0,0,0,0,0,0,26.35,0.59,0,0.89,5.94,0.69,0,0,1.24,0,0,1.59,0,0.5,15.3,0,0,1.98,48.5,0,0,1.71,0,0,0,0,0,0,0,13.39,1.73,0,2.94
 60-70,0,0,0,6.61,0,0,27.55,1.33,0,0,11.07,1.49,0,0,0,0,2.5,0,0,0,11.32,0,0,3.97,55.68,2.55,1.42,0,0,2.84,0,0,0,0,0,7.38,2.36,0,0
 72-82,0,0,0,3.92,3.78,0,22.78,0,4.68,0,9.58,0.99,0,0,0,0,0,0,1.54,0,17.14,0.77,0,3.55,47.39,0,2,0,0,1.56,0,0,0.76,0,0,2.39,9.37,0,0
 84-94,0,0,0,2.5,5.14,0.76,8.41,0,0,0,5.72,0.57,0,0,0,0.8,0.76,1.46,5.13,0.83,20.22,0,1.58,0,33,1.16,0,2.22,0,5.59,0,0,0,0,0,0,3.51,0,0
 96-106,0,0,0,4.18,1.62,0,11.04,0,0,0,3.5,2.9,0,0,1.7,0,0,0,0,0.67,7.09,2.18,0,2.63,54.9,0,0,2.67,0,11.92,0,0,0,0,0,0,9.77,0.68,0.91
108-118,0,0,0,6.28,0,5.5,13.26,0,0,0.61,14.97,1.39,0,0,2.89,0.89,1.34,0,0.42,2.88,20.4,0,0,5.63,27.38,0,0,0.82,0,7.39,0,0,0,0,0,3.93,8.66,0,5.66
120,0,0,0,0,1.95,0,0,0,0,0,25.78,3.02,0,0,3.12,0,1.18,0,3.29,0,30.68,0,0,0,24.55,0,0,3.98,0,1.07,0,0,0,0,0,9.32,0,0,0
