stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,99.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0
  5-6,19.27,197.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.34,0,1.75,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.21,0,23.69,0,0,0,0,0,28.3,0,0,0,0
 24-34,0,0,0,0,0.75,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.68,2.74,64.89,0.65,0,2.42,0,0,156.41,0,0,0,0
 36-46,0,0,0,0,2.57,0,0,444.9,0,0,0,48.71,0,0,0,0.64,0,0,0,2.54,2.61,1.2,0,0,4.34,2243.89,6.68,27.8,0.8,0,0.65,0,0,466.01,0,0,0,0
 48-58,0,0,0.92,0,11.54,0,0,2131.81,0,1.47,0,140.55,0,0,0.55,0,0,0,0,0,0.71,20.3,0,0,15.6,4233.42,0,16.01,4.36,0,12.06,0,0,628.09,0,0.48,0,2.92
 60-70,5.05,0,0,0,19.8,0,0,3665.81,0,2.07,0,238.65,5.53,0,0,0,0,0.6,4.64,5.16,0,44.45,2.49,0,1.26,4833.57,0,11.51,14.44,0,21.03,0,0,663.05,0,0.59,0,0
 72-82,0,0,0.53,0,12.21,5.15,0,2533.4,1.11,1.57,1.25,208.56,0,0.6,0.58,0,1.5,0,0,1.19,0,28.29,0,14.87,2.25,4377.11,0,17.05,19.73,0,1.8,0.68,0,502.16,0,7.04,1.45,9.26
 84-94,0,0,2.53,0,16.88,4.93,0,2264.1,0.76,0,0,104.26,0,0,0,2.48,0,1.3,1.05,0,10.96,22.06,0.61,5.09,7.24,2947.7,0,37.11,20.99,0,3.18,2.59,0.69,284.9,6.97,2.76,0,0
 96-106,0,0,1.94,0,30.35,4.53,0,1454.45,0.7,0.58,6.11,131.53,5.72,0,2.78,0.57,0,1.5,2.46,8.7,1.34,22.02,4.92,2.34,2.7,2589.41,0.57,46.28,12.73,4.25,15.05,0,0,125.72,0,6.44,0.83,0
108-118,0,0,1.27,0.74,24.24,1.4,0.95,1260.9,3.52,0,0,123.6,0.43,0,0.49,2.28,0,0,0,5.81,0.91,31.87,0,0,2.04,2770.91,0,16.84,7.82,0,4.92,0,0,111.05,0.45,2.94,0,0
120,0,0,8.41,0,37.01,1.53,15.5,1360.43,12.87,13.39,10.35,256.31,1,0,0,0,0,3.86,0,5.29,0,87.05,0,0,7.31,5268.03,3.89,23.75,27.59,0,17.21,0,0,260.71,0,23.37,0,0
