stage,axial,blastomeres,endocrine.pancreas,eye,mesenchyme,muscle,neural,otic,somites,spinal.cord
  5-6,0,7.17,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,8.6,0,0.97,0
 24-34,0,0,0.6,0.63,0,0,2.83,0,0,1.16
 36-46,0,0,0,0,0.88,0,22.86,0,0,0
 48-58,0,0,0,0,1.19,0.45,23.99,0,0,3.03
 60-70,0,0,0,0,3.08,0,41.62,0,0,0
 72-82,0,0,0,0.5,0.69,0,44.35,0,0,3.91
 84-94,0,0,0,0.86,0,0,32.28,0,0,5.59
 96-106,0,0,0,0.72,2.86,0,0.64,0,0,0
108-118,0,0,0,0,1.39,0,7.64,0,0,0
120,0,0,0,0,3.11,0,39.32,3.28,0,0
