stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,23.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0
  7-9,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83,0,0,0,12.09,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.02,0,0,0,6.59,0,0,0,0,0
 14-21,0,0,2.71,5.97,0.84,0,0,0,0,1.9,0,0,0,1.16,0,0,0,0,0,0,0.9,4.65,0,0,0,0,0,3.97,0,1.17,0
 24-34,0,0,0,9.17,0.68,2.86,0,0,1.17,0,0,0.62,0,0.77,0,0,0,1.57,0,0,0.81,32.29,0,0,3.16,3.24,0,7.82,0,1.5,0
 36-46,0,0,0,12.48,0,2.22,1.95,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0.58,38.03,0,0.68,0,0,0.58,16.91,0,2.18,0
 48-58,0,0,0,2.55,0,7.3,1.37,0,4.07,0,0.49,0,0.52,0,0,0.46,0,0.43,0.59,0,0,66.03,0,0.9,2.29,0.39,0.45,4.4,0,0,2.57
 60-70,0,0,0,9.89,0,28.91,1.71,2.07,0,0,0,0,0,0,0,0.63,0,2.5,0,0,0.77,33.7,0,0,1.84,15.72,0,0,0,0,0
 72-82,0,0,0,5.04,0,48.5,0.5,0,0.85,0,0,0,0,0,0,0,3.49,5.49,0,0,0,11.07,0,0,1.35,5.05,0.49,0,1.56,2.44,0
 84-94,0,0,0,4.39,0,32.08,2.29,1.32,0,1.31,0,0,0.83,0,0.66,0,0,14.5,0,0,0,14.13,0,0,0.61,5.81,0,0,0.96,0,0
 96-106,0,0,0,12.51,0,78,1.51,0,7.04,1.97,0,0,1.5,0,0.66,0,0,8.71,0,0,1.72,5.9,0,0,0,11.74,0,0,0.58,0,0
108-118,0,0,0,3.29,0,84.74,0,0,0,0,0,0,0.47,0,0,0,0,4.5,0,0.98,0,4.56,0,2.71,1.03,1.41,0,0,1.31,0.59,0
120,0,0,0,4.16,0,46,0,0,12.72,2.28,0,0,0,0,0,0,0,1.4,1.63,0,4.71,12.05,1.33,0,0,1.25,0,0,1.84,0,0
