stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,60.43,301.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
  5-6,23.17,568.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0
  7-9,0,23.1,15.7,0,0,51.92,0,0,0,0,24.26,0,0,0,0,0,0,0,0,0,721.34,29.08,0,0,246.05,0,7.87,0,0,0,0,0,0
 10-12,0,0,10.2,0,0,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546.45,10.11,0,0,189.92,4.52,0,0,41.73,0,0,0,0
 14-21,0,0,0,6.75,0.87,0.82,0,0,0,0,0,0,3.13,0,0,0,0.86,0,0,3.2,66.89,0,0,0,0,0,0,7.26,0,0,1.81,37.13,0
 24-34,0,0,0,1.86,0,24.23,0,0,1.02,0,0,0,0.61,0,0,0,6.03,0,0,0,216.41,0.66,1.67,2.11,0,6.76,0,0,0,0,0,35.92,2.33
 36-46,0,0,0,0,5.34,50.56,0,0,2.89,0,0,3.5,0,0,0,0,13.8,0,0,0,90.23,0,0,1.65,0,11.82,0,0,0,0,0,15.32,0
 48-58,0,0,0,2.45,0,62.79,2.41,0,3.49,0,0,0.69,0.52,0,0,0,2.8,0,0.37,0.52,38.78,0,0,0,0,1.94,0,0,0,0,0,3.4,0
 60-70,0,0,0,11.93,0,33.42,0,0,0,0,0,0,0,6.5,0,0,6.98,0,0,0,9.6,0,0,0,0,3.04,0,0,0,0,0,0,0
 72-82,0,0,0,0.56,0,27.11,0,0.59,7.63,1.03,0,0.51,0,0,0,0,10.47,0.73,0,1.32,36.94,0,0,2.21,0,7.01,0,0,0,0,0,0,2.05
 84-94,0,0,0,2.28,0,2.83,0,0,1.33,0,0,0,0,0,0,0,3.37,0,0,1.87,11.03,0,0,0,0,10.81,0,0,0,0,0,2.72,1.22
 96-106,0,0,0,1.61,0,2.44,0,0,3.74,0,0,0,0,0,0,0,5.99,0,1.06,0,8.39,0,0,0,0,10.91,0,0,0,0,0,0,0
108-118,0,0,0,2.57,0,9.38,0,0,1.96,0,0,0,0.75,0,0.43,0.93,1.77,0,0,0.5,23.46,0,0.54,0,0,15.28,0,0,0,0,0,0,0
120,0,0,0,0,0,1.29,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,0,12.98,0,0,1.04,1.63,0,0,0
