stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,233.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,136.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.19,11.64,0,0,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.64,0,0,0,22.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.07,0,0,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.63,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.88,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27,0,0,0,0,0,0,0,0,0,11.43,0,0,34.74,0,0
 24-34,0,0,0,1.25,3.26,3.89,0,0,0,0,0.69,0,0,0,0,0,0,16.35,0,0,1.45,263.57,0,0.67,0,0,0,0,0,1,0,77.95,0,0,166.52,0,0
 36-46,0,0,0,1.64,1.17,13.7,0,0,5.45,0,0,0,0,0,0,0,0,18.68,0,0,0,597.23,0,2.97,0.83,0,0,10.28,1.82,0,2.28,173.05,0,1.37,129.01,0,0
 48-58,0,0,0,9.84,1.86,83.03,0,0,25.9,0,2.52,0,0,0,0,1.59,0,46.27,0,0,2.38,1069.4,0,2.46,8.82,0,0,4.6,0,0,0,192.37,0,0,94.08,0,0.84
 60-70,0,0,0,3.34,0,239.38,0,1.38,35.51,0,1.7,0,0,0,0,0,2.57,92.33,0,0,7.32,1510.09,0,0.89,3.66,0,0,8.68,0,0,0,257.31,0,1.9,72.23,0.81,3.49
 72-82,0,0,0,7.01,10.17,305.3,0,2.44,68.63,0.85,0,2.95,0,2.68,0,0,0,219.6,0,3.28,7.91,1473.23,3.31,2.57,6.08,0,3.46,0.86,0,0,0.53,183.8,1.58,3.22,137.41,0,3.06
 84-94,0,0,0,2.26,0,226.14,1.88,3.88,40.69,0,0,0,0,0,0,3.29,0,164.18,0,1.33,0.98,1028.25,4.66,6.65,5.05,0,0,7.9,0,0,0,92.83,0,0,183.23,0,0
 96-106,0,0,0,11,13.16,200.82,1.58,0.6,21.29,0,0,0,0.87,0.92,0,0,0,155.47,0,0.62,1.94,988.01,0,0.67,0,0,2.9,11.73,0,0,0,85.55,1.86,1.93,112.17,0.81,0
108-118,0,0,0,3.82,0,187.58,0,1.67,59.34,0,0,0,0,5.15,1.71,0,0,231.81,1.14,0,6.47,1069.37,0,7.95,0.91,0,2.1,3.8,0,2.21,0,30.2,1.13,0,183.64,0,6.82
120,0,0,0,14.03,2.59,339.58,1.33,14.28,66.7,0,4.06,0,0,0,5.29,0,0,332.63,3.25,0,3.19,2453.28,2.33,4.46,0,0,4.59,3.33,0,0,0,137.97,11.99,0,198.85,1.8,0
