stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.07,0,2.78,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,11.57,1.3,6.89,0,0,0,0,1.7,0,130.19,450.66,8.07,0,0,0,0
 24-34,0,1.43,0,0,79.35,9.08,0,0,0.67,0,1.66,0,1.54,0,0,0,0,1.91,0,14.54,35.93,2.23,0.95,0,0,1.18,0,0,30.98,114,8.69,0,0,0,0
 36-46,0,0.71,0,0,46.05,84.57,0,0,2.88,0,2.34,0,0,0,0,0,0,3.29,0,11.36,54.61,0,0,0,0,20.81,0,0,67.47,11.14,6.81,0,3.15,0,0
 48-58,0,0,0,0,49.39,73.87,0,0.47,2.09,0,0,0,0,0,0,0,0,6.84,0,23.37,83.13,3.07,0,0,0,3.14,0,0,69.46,0,8.31,0,0,0,0
 60-70,0,0.89,0,0,141.4,92,2.83,0,0.67,0,1.24,0,0,0,0,0,0,15.32,0,16.85,99.41,0,0,0,1.62,0,0,0,46.85,0,11.45,2.16,0,0,0
 72-82,4.25,0.72,0.6,0,230.11,47.61,0.55,0.96,12.34,2.34,0,0,0,0,2.42,0,0,12.29,0,12.21,79.08,0,0,0,0,4.15,0,0,35.45,0,14.27,0.73,0,2.18,0
 84-94,3.18,0.62,0.74,11.01,316.56,92.23,0,0,11.84,0,1.9,0.97,0,0.55,0,0,2.53,15.94,0,11.91,86.21,5.53,9.74,5.25,0,2.87,0,0,57.13,0,1.94,2.6,0,2.52,1.5
 96-106,14.37,5.62,13.79,0,341.58,269.33,0,0,24.56,1.78,0.69,1.66,0.64,0,0,9.21,0,25.13,3.46,14.47,93.66,0,2,1.32,0,14.3,0,0,82.15,0,4.62,0.72,1.23,1.28,8.53
108-118,2.04,1.52,10.36,0.71,379.47,250,0,0,15.49,5.11,1.1,1.99,1.07,0,0,0.53,0,30.99,1.28,34.06,73.07,5.25,0,0,8.11,11.13,0,0,76.84,0,0,1.35,5.22,3.53,0
120,3.99,0,0,0,630.07,122.18,2.75,0,15.89,10.63,1.15,0,5.09,0,0,0,0,24.34,2.13,17.6,87.72,0,0,0,0,0,2.24,1.02,11.64,0,3.82,0,0,2.54,0
