stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.65,314.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.13,430.34,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,40.67,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.09,0,11.71,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,297.76,0,0,0,83.52,0,17.45,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.27,8.87,0,0,0,0,0,0,3.14,0,0,0,0,0,0
 14-21,0,0,0,0,8.57,4.29,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,103.77,0,0,88.82,13.57,9.29,0,0,0,0,0,3.48,1.37,2.66,2.76,0,0,0,0
 24-34,0,0,0,1.54,6.72,0.61,4.23,0,0,2.28,0.68,0,0,0,0,0.66,0,0.64,0.67,0,825.31,0,0,247.38,38.06,7.4,3.35,2.03,0,0,1.31,0,0,2.24,18.68,0,3.61,0,0
 36-46,0,0,0,0.71,0.65,0,14.22,3.78,4.2,72.54,2.43,0,0,0.56,0,0,2.87,0,16.36,0,1453.4,0,3.36,276.76,70.28,9.34,3.27,1,0,1.69,9.37,1.82,0.62,0,18.92,1.25,0.75,0,1.45
 48-58,0,0,0,0,2.03,2.42,17.7,0,7.73,122.79,11.5,1.98,0.39,0,0.47,0.39,0,0,1.02,0,2021.54,0.74,10.81,214.63,148.17,0.49,0,0.38,0,1.51,0,0,0,0,11.22,1.28,0,2.15,0.89
 60-70,0.81,0,0,0,8.72,0,24.43,0,13.95,124.11,6.67,6.57,0,0,0,0,0,0,0,0,2116.5,1.7,60.29,155.63,95.43,0,2.94,1.24,0,52.16,0,0,0,0,17.59,13.9,4.79,18.91,3.49
 72-82,0,0,0,0,5.62,2.07,75.71,0,4.84,154.34,18.21,6.99,0,2.17,0.66,0.63,0,2.06,0,0,2489.96,0.56,52.55,164.6,70.08,0,0,0,0,35.3,1.35,0,0,0,17.72,20.2,3.42,57.63,9.04
 84-94,0,0,0,0,5.98,1.4,99.81,1.34,5.83,148.22,7.19,20.23,0,2.16,1.12,0,5.19,2.64,1.81,0,2426.04,0,57.62,111.24,74.88,1.23,1.41,0,0,44.22,9.08,0,0,0,1.46,23.28,0.76,45.22,0
 96-106,0,0,0,0,9.68,6.95,83.55,0.64,14.24,105.54,20.77,14.99,0,3.67,1.92,3.31,0.6,1.17,9.26,0.63,2283.53,0,33.21,87.6,142.47,0,0.67,1.11,0,86.94,1.38,0,2.12,0,4.69,23.95,7.25,36.25,0
108-118,0,0,1.72,0,3.4,10.21,45.9,1.02,4.59,135.43,14.43,3.14,0,1.56,1.09,0.97,9.31,1.01,0,5.7,2431.22,0,37.43,76.26,105.56,0,4.25,0.72,0,66.67,0,0,2.26,0,3.42,10.34,0,57.84,0
120,0,0,0,0,3.87,23.88,62.54,0,0,65.65,21.8,6.37,0,7.77,3.81,3.66,0,0,52.49,0,2242.08,0,26.87,83.26,65.72,0,11.74,3.14,0,99.22,0,0,0,0,1.53,11.34,0,104.52,0
