stage,axial,endoderm,hatching_gland,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,somites
  5-6,8.85,0,0,30.97,0,0,0,0
  7-9,8.34,10.83,0,0,4.43,25.35,0,0
 10-12,0,0,3.05,4.8,0,7.35,0,0
 14-21,0,0,0.92,0,0,0,6.2,1.96
 24-34,0,0,0,0,0,0,0,0.74
