stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,8.9,0,0,0,0,0,0,0,10.04,0,0,0,0,0,0,0
 14-21,0,0,0,14.68,1.32,0,7.58,0,23.01,1,0,1.28,0,0,0,0,0.97,0,0,0,61.54,2.09,0,10.58,1.02,0,0,0,1.17,48,0,32.45,0,0,0,0,0
 24-34,0,0,0.76,4.08,0,0,9.29,0,22.28,0.63,0,2.02,0,0,0,0,4.75,0,0,1.39,244.81,0,35.84,12.68,0,0,0,0,0,76.96,1.42,86.07,0,0,0,0,0
 36-46,0,0,0,0.79,0,0,14.01,0,20.03,0.67,0,3.53,0,0,3.34,0,1.83,0,0,0,609.29,0,28.85,4.29,0,0,0.82,0,0,96.05,0,123.44,0,0,0,0,0
 48-58,0,0.42,0,0,0,0,60.84,0,53.07,0,0.76,3,0,0,0.89,0,5.18,0,0,0,1149.67,0,32.86,4.39,0,0,0,0,0,30.34,0,123.41,0,0,0.46,0,0
 60-70,0,0.82,0,1.16,0,0,156.84,1.44,132.49,0,0,14.85,0,0,0,0,15.93,0,0,0,1747.22,0,68.06,8.84,0,0,3.02,0,0,24.98,0,166.99,0,0,0,0,1.67
 72-82,0,5.22,0,2.61,3.3,0,199.52,0,169.32,0,0,4.23,0,3.21,0,3.96,19.98,0,0,0,2367.59,0,62.18,5.16,0,2.02,1.32,0,0,15.95,0,178.59,0,0,1.46,0,0
 84-94,0,3.37,1.04,11.5,6.81,0,183.22,0,77.08,1.52,0,18.26,0,0,0,0,16.53,0,0,0,1381.26,0,51.14,2.24,0,0,0,0,0,22.4,0,79.26,0,0.88,0.86,0.63,0
 96-106,0,5.77,0,3.86,6.22,0,107.65,0,90.29,4.02,0,12.01,0,0,2.78,0,10.88,0,0,2.99,1407.42,0,86.94,5.88,0,0,0,1.35,0,18.87,0,54.02,0,0,0,0,0
108-118,0,1.78,0,14.19,0,0,101.49,4.79,106.4,0,0,26.83,0,0.9,0.74,0,24.8,0,1.35,0,1595.07,0,45.2,0,0,0,0,0,0,5.48,0,57.5,5.04,0,1.08,0,0
120,0,0,0,9.38,0,1.71,194.3,0,162.42,0,0,35.09,1.29,6.33,0,0,27.73,16.75,0,0,2438.19,0,72.92,6.92,0,0,1.13,4.99,0,6.39,0,59.72,0,0,3.29,9.78,0
