stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.72,0,0,0,0,0,0,0,0,0
  5-6,35.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29,0,0,0,0,519.62,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,0,0,9.65,0,149.02,0,0,0,0,0,0,0,0,0
 10-12,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.72,0,0,0,0,12.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14.84,0,0,0,0,0,5.85,7.67,0,0,0,164.65,0,0,0,0,16.99,0,0,10.45,0,2.17,0,0,175.66,0.85,2.63,0.91,2.27,0,0,0,0,0
 24-34,0,0,0,19.46,0,2.09,0,1.65,0,0.61,2.81,0,0,0,804.59,0,2.09,0,6.82,71.58,0,0.65,29.87,0.99,0,0,0,182.51,0,23.84,0,1.38,0,0,0,0,0
 36-46,0,0,0,6.08,0,2.8,0,6.92,0,0,1.8,0,0,0,267.18,0.74,0.6,0,6.44,17.69,1.26,0.65,20.03,5.89,0,0,0,216.29,0,15.48,0,1.71,0,0,0,0,0
 48-58,0,0,0,30.99,0,4.64,0,7.99,0.88,2.98,1.26,0,1.29,0,164.86,0,2.06,0,4.86,15.66,0,0,23.17,5.17,0,0,0.56,110.89,0,5.41,0,5.93,0,0,0,0,0
 60-70,0,0,0,26.11,0,9.38,1.33,8.46,0.63,0,8.79,0,0,0,160.11,0,6.52,0,9.85,8.43,0,0,34.45,5.71,6.94,0,1.08,57.33,0,10.63,0,1.24,2.23,0,0,0,0
 72-82,0,1.66,0,26.17,0,5.8,0,0.81,0,1.59,21.18,0.59,0,1.15,223.13,0,3.64,0,9.29,9.47,0,0.51,21.57,1.98,22.8,0,1.53,20.48,0,6.19,0,0,6.08,0,0,0,0
 84-94,0,5.27,1.79,68.02,0,15.08,0,5.75,0,9.37,76.08,2.72,0,5.01,406.24,0.67,5.34,0.74,7.36,12.77,0,0,18.67,10.72,9.41,0,0,40.72,0,35.85,0,1.62,39.66,0,0,2.07,0
 96-106,0,3.3,5.33,77.3,11.18,30.01,0,4.55,0,1.76,116.01,2.12,0,4.46,518.68,0,24.82,14.43,13.56,8.3,1.5,0,31.92,16.08,26.65,0,1.57,18.99,0,19.15,0,0,47.59,0.78,0,0,0
108-118,0,3.42,13.58,67.71,1.57,18.43,0,0,0,8.74,124.87,0,0,0.52,363.02,1.34,12.55,3.48,11.1,22.53,1.32,0,37.6,8.83,63.52,0,0,14.16,0,24.35,0,0,37.82,0,1.9,0,3.32
120,0,0,1.27,49.06,0,4.21,0,2.34,1.69,0,62.43,0,0,0,207.25,0,15.81,5,6.88,2.91,0,0,30.13,7.06,23.12,0,0,11,0,15.93,0,8.38,20.88,0,0,0,0
