stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.84,0,0,62.54,0,0,0,3.9,0,0,2.14,0,0,0,0,0,297.46,13.67,0,0,2.27,138.52,0,2.15,0,0,8.35,4.43,0.84,0,7.5,30.16,0,0,2.7,0,23069.85
 24-34,0,0,2.02,5.77,134.96,14.49,0,880.55,1.45,9.59,9.97,48.56,18.29,8.15,10.58,17.84,23.75,658.32,8.42,66.31,355.28,323.86,1.78,1.73,199.48,4294.03,49.96,29.51,24.13,0,306.67,0,29.96,29.07,103.16,606.7,0,0,213.92,0,137708.4
 36-46,0,0,0,0,72.58,16.59,0,964.41,17.3,58.15,6.46,122.73,1.33,0,10.92,27.92,6.83,523.18,3.26,439.65,172.64,267.45,2.53,0,74.92,3610.52,55.23,37.61,7.9,5.7,237.71,0,445.82,24.19,3.67,748.08,0,1.89,77.96,0,285224.77
 48-58,0.39,0,0.42,0,171.77,18.55,0,1968.44,11.15,16.2,13.76,227.75,0.91,3.38,5.85,91.81,0.46,1513.3,6.1,4.58,53.12,433.14,4.65,3.59,77.17,3412.84,21.57,14.32,24.01,0.39,214.59,0,5.74,6.82,0,614.53,0,1.01,67.63,0.78,323769.47
 60-70,2.24,0,1.22,0,50.85,52.25,0,1336.9,35.35,18.79,45.55,135.89,1.86,0,1.91,119.5,0.86,681.82,6.34,1.35,71.9,221.76,7.46,13.4,74.68,1671.22,2.93,10.13,8.96,0,51.39,0,1.72,1.58,0,262.88,3.9,2.37,19.03,0,277148.56
 72-82,0,0,1.68,0,104.98,49.93,1.16,2973.53,10.11,54.93,97.56,157.64,40.61,0.52,8.95,32.38,2.15,1046.84,9.89,11.55,34.56,355.76,2.25,23.45,26.03,1196.41,0,0.67,111,7.72,93.13,0,1.25,1.69,0,99.47,10.26,5.45,52.89,37.66,209875.2
 84-94,0,0,3.78,0,180.63,43.51,0,5913.62,22.7,20.98,30.63,179.81,7.03,2.11,4.22,15.07,9.1,1269.29,1.23,9.21,7.88,473.6,5.02,168.09,13.94,921.71,0.66,8.88,5.75,2.65,88.04,0,2.91,0,0,112.81,0,39.2,28.91,37.37,137768.23
 96-106,0,0,1.22,0,194.89,156.51,0,3494.85,8.2,11.17,19.14,324.37,22.28,0,4.57,321.25,3.82,17.26,5.11,271.54,7.85,586.69,13.52,14.79,38.36,1973.51,2.35,13.08,51.64,4.25,160.04,0,12.16,0.76,0,54.97,11.92,7.64,59.18,35.15,132910.49
108-118,3.02,0,2.76,0,49.46,64.4,3.41,1778.33,6.37,6.57,23.87,95.05,16.43,0,11.22,16.6,4.61,600,5.56,421.64,13.27,395.27,11.95,21.43,28.99,1115.04,11.62,10.72,181.01,11.4,82.87,0,0,0,0,42.3,13.9,3.05,22.39,5.4,116216.79
120,0,0,0,0,86.95,41.94,1.6,1193.58,0,2.21,3.46,151.83,33.33,0,0,2.01,2.4,53.53,12.26,36.83,0,156.48,0,0,13.12,1379.53,0,25.42,10.87,0,25.16,0,0,0,0,3.34,161.76,4.17,15.78,0,46006.23
