stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,52.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.98,0,0,36.37,0,0,0,0,0,0,0,0,51.51,0,15.03,0,0,0,0,0,0,0,0,0
 10-12,0,5.47,0,0,42.18,0,0,0,0,0,0,0,0,267.75,0,36.97,0,10.4,0,0,0,0,0,0,0
 14-21,0,1.83,0,0,5.54,0,1.77,0.98,0,9.34,3.15,0,5.22,56.42,0,1.97,0,0,1.26,6.31,19.76,0,0,0,0
 24-34,0,0,0,0,7.15,0,0.69,0,0,1.33,4.99,0,2.22,56.01,0,0,0,0,0,0.65,8.86,0,0,0,0.96
 36-46,0,0,0,0,3.21,0,0,0,0,0,1.63,0,2.53,24.18,8.3,0,1.01,0,0,0,4.87,0,0,0,0
 48-58,0,0,0,0,6.07,0.38,0.42,0,0.44,0,2.62,0,0.82,5.36,0,0,0,0,0,0,0.63,0,0,0,0
 60-70,0,0,0,0.61,147.63,0,0,0,0,0,3.06,0,0,3.18,0,0,3.51,0,0,0,1.26,0,0,0,0
 72-82,0,0,4.52,0,308.05,1.07,1.87,0,0,0,7.95,3.56,0,8.68,0,0,0,0,0,0,0,3.4,0,0,0
 84-94,0,0,1.54,0,333.74,0,3.59,0,0,0,6.57,0,0,3.4,0,0,0,0,0,0,0,0.6,0,1.11,0
 96-106,0,0,1.24,0,143.46,0,5.16,0,0,0.86,6.83,5.03,0.58,2.91,0,0,0,0,0,0,0,1.91,4.09,0,0
108-118,0,0,0,2.8,184.79,0,3.02,0,0.42,3.51,11.51,10.06,0,7.07,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,141.17,0,6.15,0,0,0,4.39,18,0,20.5,0,0,0,0,0,0,0,1.99,0,0,0
