stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 14-21,0,0.91,0,5.91,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,1.82,8.17,0.82,0,1.86,0,4.93,1.56,0,3.8,5.46,0,0
 24-34,0,2.31,5.47,0,0,4.75,0,0,7.4,0,0,0,0,3.91,0,2.57,0,0.91,2.37,49.9,1.57,0,8.57,0,12.73,0.64,0,0.83,32.74,0,21.07
 36-46,0,0,13.16,0,0,1.94,0,0,12.97,0,0,0,0,0,0,3.74,0,2.83,2.59,63.75,7.48,3.36,2.23,0,12.83,0,0,0,35.02,0,17.48
 48-58,0,0,1.1,0,0,5.13,0,0.4,26.76,1.15,0.5,0,0,0.44,4.89,3.84,0,0,0.78,13.62,1.03,0,0.44,0,2.25,0,0.94,0,31.64,0,8.83
 60-70,0,0,11.44,0,0,14.11,0,0,46.3,0.85,8.25,0.62,0,0,5.16,17.39,0,0,0.93,25.47,1.63,0,4.37,0,1.93,0,0,0,24.51,0,6.23
 72-82,1.46,0,1.96,0,0,4.78,0,0,60.06,0.84,0.75,0.63,0,0.63,1.76,30.81,1.83,4.81,0.8,11.78,1.67,0,2.29,0,0.76,0,0,0,9.75,0,21.1
 84-94,0,0,7.24,3.13,0,13,2.68,0,21.5,3.88,0,5.78,0,0.73,0.67,24.19,1.26,1.06,0,7.84,0.72,0,3.37,0,8.65,2.21,0,0,4.91,0,13.87
 96-106,2.05,0,8.89,0,0,2.89,0,1.42,19.74,2.63,1.57,3.04,1.14,2.07,0,12.62,0,0,2.16,9.29,0.69,0.57,2.91,0,9.57,0,0,0,3.42,0.81,17.5
108-118,0.95,0,8.38,0,0.5,4.5,3.15,0,16.95,3.75,0,3.26,0,0.87,0,20.94,0,0,1.56,23.15,2.04,0,10.01,5.54,2.69,0.64,0,0,8.16,0,12.95
120,0,4.41,7.74,0,0,16.92,0,0,16.82,1.14,0,0,0,0,0,26.94,0,0,1.22,2.24,5.5,0,14.94,0,1.19,5.04,0,0,13.04,1.53,20.31
