stage,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
 14-21,1,1.08,0,0,0,0,0,1.18,0,1.89,6.46,0,0,1.29,0.83,1.13,1.58,2.17,2.14,0
 24-34,0,2.26,0.77,0,0,0,0,2.43,0,1,44.23,0,0,0,0,0,0,0,2.17,0.6
 36-46,0,0.68,0.61,0,0,0,0,0.65,0,0.79,19.15,0,0,1.84,0,0,0,0,3.35,0.65
 48-58,0,9.93,2.59,0,0,0,0.41,0.98,0,1.82,29.16,0,0,0,0,0,0,0,3.61,1.56
 60-70,0,55.81,4.87,0,0,0.71,0,5.46,0,0,20.21,0.83,0,0.6,0,0.68,0,0,1.5,0
 72-82,1.73,16.67,1.89,0,0,0,0,8.31,0.87,0,30.26,0,0,0,0,0,0,0,2.58,0
 84-94,0.61,22.45,0,0,0,0,0,3.54,1.03,0,5.7,0,0.58,0,0,0,0,0,3.75,0
 96-106,5.01,42.11,1.63,1.66,0,0,0,3.23,0,0,26.01,0,2.25,2.44,0,0,0,0,0,1.88
108-118,2.23,13.91,0,1.35,1.13,0,0,0,0,0,9.45,0,0,0,0,0,0,0,3.26,1.58
120,2.27,21.92,4.21,0,0,0,0,0,0,0,27.16,0,0,2.89,0,0,0,0,0,0
