stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,181.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,295.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.01,0,0,0,0,0,0,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.91,9.49,0,0,19.56,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.21,0,22.6,0,0,0,35.8,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,389.03,5.2,0,0,122.71,0,0,14.26,0,4.8,0,68.2,0,0,0,0,0,0
 14-21,0,0,0,1.07,9.13,29.18,0,6.59,0,0,7.29,0.81,0,7.45,0,0,0,0,0,0.94,60.71,0,0,18.79,326.11,0,0,3.56,0,0,0,1.23,5.2,7.57,4.19,12.76,75.1,0,0,17.78,0,1.92
 24-34,0,0,0,0.67,4.59,7.68,0,31.46,0,0,56.8,3.41,0,18.05,0,2.03,0,0,0,2.71,59.22,0,0,10.35,1619.74,0,0,4.77,0,0.99,10.13,0,0,6.16,0,4.27,220.87,0,0,76.02,0,4.25
 36-46,0,0,0,0,2.99,1.88,0,41.75,0,0.73,80.66,0.83,0,31.24,0,0,0,0,8.34,21.11,50.99,0,11.07,3.46,1288.51,0,2.73,2.09,0,0,14.03,0,0,3.37,0,0,319.27,0,0.85,62.23,0,32.38
 48-58,0,0,0,0.43,6.11,0.4,0,59.14,1.62,0.57,113.8,0,0,22,14.98,0,0.76,0.69,9.71,1.72,57.45,0.45,17.9,13.13,361.05,0.63,0,2.46,0,8.87,7.22,0,2.68,1.71,0,0,235.58,0,0.42,68.63,0.5,51.72
 60-70,0,0,0,0,0.6,0,0,87.78,0,0,94.78,10.25,0,15.91,6.79,7.6,6.68,0.57,13.74,2.15,75.56,0,13.84,13.02,110.75,0,0,0,0,2.49,13.23,0,0,9.64,0,0,52.79,0,3.18,23.12,4.24,89.02
 72-82,0,0,2.35,0.63,0,19.47,0,56.29,0,0,98.72,12.75,0,31.59,1.81,0.56,14.35,0,14.54,1.18,105.77,0,11.82,7.25,79.45,0,4.23,3.11,0,3.06,2.05,0,0,3.8,0,0,33.49,0,5.77,83.22,2.99,46.25
 84-94,0,0,0.98,1.74,8.85,25.81,0,76.35,0,0,90.45,8,0.99,33.04,2.88,2.31,8.16,1.82,37.81,0,94.34,0,5.5,3.85,80.19,0,2.08,4.37,0,4.3,15.07,0,0,14.23,0,0,19.75,0,10.58,56.84,9.82,44.57
 96-106,0,0,0,0,4.33,22.91,0.59,105,0,8.48,116.33,11.41,0,39.09,12.89,0,1.52,2.29,26.98,2.62,137.15,4.16,8.93,8.63,94.93,0,1.29,3.68,0,3.49,8.58,0,0,3.17,0,0,11.67,1.83,3.14,59.37,3.11,46.45
108-118,0,0,0,1.94,9.42,0,1.53,73.01,1.38,3.13,136.34,13.57,0,13.38,6.41,0,9.46,0,34.05,2.98,145.16,1.08,14.18,5.91,67.1,0,9.06,10.55,0,7.63,6.08,0,0,4.41,0,0,5.49,0.84,4.49,72.27,1.85,50.6
120,0,0,3.99,1.66,14.84,10.38,0,105.72,1.06,0,78.64,39.78,0,14.11,18.88,0,2.93,6.14,28.08,10.93,251.57,1.56,11.19,4.35,121.53,0,8.55,8.7,0,0,0,0,0,2.89,1.52,0,0,0,15.24,102.21,10.63,26.96
