stage,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vasculature
 14-21,0,0,0.82,0,0,0,0,1.17,0,0,0,0.89,0,0,1.36,0
 24-34,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0.74,0
 36-46,2.78,0,3.34,1.63,0,0.69,0,8,2.19,0,0,1.1,3.13,0,4.33,0
 48-58,2.8,0,9.16,0,0,0.47,0,20.57,0,0,0,5.71,0,0,2.55,0
 60-70,0,0.67,3.11,0,0,0.8,0,3.86,2.13,0,0,3.5,1.17,0,0,0
 72-82,0,0.77,9.35,0,0,1.43,0.73,7.43,1.11,0,0,1.86,0,0,1.32,0
 84-94,0,0,4.28,0.73,0,0,0,4.5,0,0,0,1.96,0,0,0,0
 96-106,3,0,4.3,6.22,0,0,0,6.81,0,0,0,0,0,0,0,0
108-118,9.02,0,0.8,2.05,0.6,0,0,8.22,0,0,1.49,0,0,0.43,4.76,7.63
120,2.14,0,4.33,0,2.4,0,0,3.27,0,6.28,0,0,0,0,0,0
