stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,17.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,0,0,0,12.38,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0,0,11.1,0,0,100.38,6.27,1.67,0,0,0,0,2.46,5.58,0,1.27,8.21,1.12,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.87,0,0,0.83,0,0,0,0,0,0,0,0,88.73,0,0,197.16,25.14,0,0,3.1,0,0,0,0,0,0,0.77,2.65,0,0,0.85,0,0
 36-46,0,0,0,0,0,0,1.32,0,0,6.06,2.74,0,0,0,4.83,0,0,0,300.3,0,0,134.79,26.42,0,0,0,0,0,0,1.71,0,0,0,1.53,0,0,0,0,0
 48-58,0,0,0,0.43,0,0,24.45,0,0,91.05,0,0,0,0,0,0,0,0.48,917.23,0,0,88.56,66.09,0,0,1.64,0,0,4.05,0,0,0,0,4.29,0,0,0.41,0,1.18
 60-70,0,0,0,0,0,0,39.56,0,0,73.06,4.53,1.41,0,0,0,6.1,0,0,2306.65,0,0,47.65,30.57,3.11,0,0,0,0,1.48,0,9.51,0,0,8.01,0,0,0,0,8.01
 72-82,0,0,0,3.92,7.72,0,183.35,6.51,16.37,187.89,23.19,5.64,0,0,0,2.65,0,0,6715.79,0,1.04,192.73,153.05,0,0,0.84,0,1.67,6.99,0,0,0,0,6.86,1.69,0,10.54,1.88,11.09
 84-94,0,0,0,17.41,1.22,0,256.88,3.2,0.62,146.38,20.05,0,0,1.78,0,0,0,1.81,6103.94,1.04,2.36,157.87,34.75,0,0,0,0,0,2.74,0,0.67,0,0,3.9,0,20.6,3.82,3.01,0
 96-106,1.12,0,3.76,17.11,13.23,0,220.66,0.64,31.47,179.39,23.43,1.3,2.78,6.41,0.82,6.49,3.68,7.71,7272.37,0,3.74,180.09,233.32,0,0,0,0,4.63,7.43,0,6.3,0,0,2.94,0,24.28,9.63,10.78,1.46
108-118,0,0,0,7.27,0.68,0,102.41,0,0.45,174.55,6.85,0,0,0.87,0,5.83,0,0,8127.86,8.04,9.58,200.41,138.72,0,1.6,1.79,0,1.05,6.41,0,0,0,0,2.9,0,4.23,0.45,0,0
120,0,0,0,16.76,11.87,19.62,325.24,0,0,260.14,6.3,0,0,0,0,0,0,7.35,5833.62,9.38,0,52.95,181.3,0,0,5.12,0,0,0,0,0,0,0,2.5,0,0,2.71,0,0
