stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,267.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0
  5-6,28.77,300.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0
  7-9,7.49,6.33,0,22.07,0,0,40.64,0,0,0,6.52,0,0,0,0,189.49,4.51,0,0,60.89,0,0,0,0,0,0,0
 10-12,0,6.19,0,20.33,0,0,0,0,0,0,0,0,0,0,0,302.29,0,0,0,96.33,0,3.96,33.82,0,0,0,0
 14-21,0,0,0,0,8.37,1.08,0.9,0,0,0.91,0,0,0,3.81,0,52.52,0,1,0,2.73,0,6.58,0,0.99,20.94,0,0
 24-34,0,0,0,0,3.57,0,6.68,0,0,0,0,0,0,4,1.3,60.4,0,0,0,0,0.62,0,0,0,9.11,3.73,0
 36-46,0,0,0,0,0,0,8.48,0,0,6.62,0,0,0,0.64,0.6,29.58,0,0,0.89,0,0,0,0,0,4.05,0,0
 48-58,0,0,0,0,2.78,0,7.62,1.77,0.47,0.57,0,0,0,1.79,0.87,28.61,0,0,0,0,0,0,0,0,2.41,0,6.79
 60-70,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,26.01,0,0,0,0,3.48,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.23,0,0.96,0,0.67,0,0,0,0,0.76,0,1.75,0,3.72,0,0,0.65,0,1.14,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.59,0,0,6.69,0,0,0,4.2,1.01,1.14,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.97,0,0,0,0,1.83,0,0,0.51,3.4,1,2.95,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.67,0,0,10.59,0,0,0,0,1.98,20.85,0,0,0,0,0,0,0,0,0,0,0
