stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,10.06,202.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.22,0,0,0
  5-6,76.59,1452.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.82,0,0,0
  7-9,28.69,5.84,0,20.68,0,0,17.54,0,0,0,15.72,0,0,0,0,0,610.16,4.03,0,129.69,6.66,0,0,0
 10-12,3.8,0,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,0,0,7.8,10.14,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0
 24-34,0,0,0,0,0,0,0,3.84,0,0,0,0,4.08,0,0,0,6.64,0,0,0,93.78,0,0,0
 36-46,0,0,0,0,9.91,0,0,0,0,0,0,0,2.2,0,0,0.7,32.88,0,0,0,160.3,0.89,0,1.59
 48-58,0,0,0,0,0,0,0.89,1.74,0.5,0,0.39,0,0,0,0.44,0,16.39,0,0.65,0,161.99,0.85,0,0
 60-70,0,0,0,0,8.32,0,1.7,0,0,0,5.16,0,0.56,0,0,1.95,0,0,0,0,60.2,1.27,0.81,0
 72-82,0,0,0,0,2.3,0,0.65,0.54,0,0,1.02,0,0.87,1.39,1.29,0.95,23.71,0,2.34,0,94.12,0,0,0
 84-94,0,0,0,0,2.6,0,3.87,0,0,0,0,0,0,0,0,0,1.85,0,1.17,0,28.16,0,0,0
 96-106,0,0,0,0,9.13,0,3.43,0,2.06,3.07,0,0,1.43,0.65,0,3.75,14.88,0,1.44,0,149.02,0,2.08,0
108-118,0,0,0,0,6.86,0,6.31,0.6,0,2.46,0,0,7.74,0.86,0,4.98,17.66,0,23.23,0,61.18,0,2.04,0
120,0,0,7.47,0,44.63,8.57,0,3.34,0,11.33,0,2.23,9.06,2.19,11.4,0,12.69,0,0,0,163.53,0,21.98,0
