stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,hatching.gland,immune,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,vascular.smooth.muscle,xanthophores
  3-4,28.68,304.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.85,0,0,0
  5-6,47.01,500.71,0,0,0,0,0,0,0,0,0,0,0,0,40.51,0,15.87,6.27,0,0,0
  7-9,6.92,0,5.19,0,13.3,0,0,0,11.74,0,0,0,0,0,148.05,12.56,45.25,0,0,0,0
 10-12,0,5.63,0,0,17.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,0,0,0,2.04,0,0,0,14.42,0,0,0.87,0,0
 24-34,0,0,0,0.64,0,0,0,0,0,0,0,0.77,0,0.88,7.31,0,0,1.44,0,0,0
 36-46,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.11,0,0,4.2,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.44,1.54,0,5.05,0,0,0,7.01,0,0.44,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0,0,0,0,3.54,0,2.56,0
 72-82,0,0,0,0,0,0,0,3.43,0,0,0,3.4,0,0.7,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0,2.54,0,0,0
 96-106,0,0,0,0,0,0.62,0.59,0,0,0,0,10.61,0,0,0,0,0,9.01,0,0.93,0
108-118,0,0,0,0,0,0,0,3.16,0,0.62,0,0.59,0,0,0,0,0,4.61,0,0,4.23
120,0,0,0,1.92,0,0,0,0,0,2.37,0,0,1.47,3.31,0,0,0,1.5,0,0,0
